
Standard & Poors 500 Index,Last: 4079.0901,Change:  -11.3199
Date: 2023년 2월 18일 오전 7:01 GMT-5,Bid: 4053.26,Ask: 4106.25,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Feb 17 2023,SPX230217C00200000,3892.48,0,0,0,0,0,0,0,143,200.00,SPX230217P00200000,0.05,0,0,0,0,0,0,0,368
Fri Feb 17 2023,SPXW230217C00200000,3929.49,0,3868.1,3892.1,0,0,0,0,1758,200.00,SPXW230217P00200000,0.05,0,0,0.05,0,0,0,0,311
Fri Feb 17 2023,SPX230217C00400000,3692.63,0,0,0,0,0,0,0,11,400.00,SPX230217P00400000,0.05,0,0,0,0,0,0,0,425
Fri Feb 17 2023,SPXW230217C00400000,3737.38,0,3668.1,3692.1,0,0,0,0,202,400.00,SPXW230217P00400000,0,0,0,0.05,0,0,0,0,66
Fri Feb 17 2023,SPX230217C00600000,3471.35,0,0,0,0,0,0,0,2,600.00,SPX230217P00600000,0.05,0,0,0,0,0,0,0,7144
Fri Feb 17 2023,SPXW230217C00600000,3420.32,0,3468.1,3492.1,0,0,0,0,16,600.00,SPXW230217P00600000,0,0,0,0.05,0,0,0,0,73
Fri Feb 17 2023,SPX230217C00800000,3276.6,0,0,0,0,0,0,0,24,800.00,SPX230217P00800000,0.03,0,0,0,0,0,0,0,6358
Fri Feb 17 2023,SPXW230217C00800000,3231.25,0,3268.1,3292.1,0,0,0,0,220,800.00,SPXW230217P00800000,0.05,0.025,0,0.05,30,0,0,0,166
Fri Feb 17 2023,SPX230217C01000000,3050.04,0,0,0,0,0,0,0,9776,1000.00,SPX230217P01000000,0.03,0,0,0,0,0,0,0,12843
Fri Feb 17 2023,SPXW230217C01000000,3020.66,0,3068.1,3092.1,0,0,0,0,2,1000.00,SPXW230217P01000000,0.03,0,0,0.05,0,0,0,0,84
Fri Feb 17 2023,SPX230217C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPX230217P01200000,0.05,0,0,0,0,0,0,0,460
Fri Feb 17 2023,SPXW230217C01200000,2759.95,0,2868.1,2892.1,0,0,0,0,11,1200.00,SPXW230217P01200000,0,0,0,0.05,0,0,0,0,167
Fri Feb 17 2023,SPX230217C01300000,2833.66,0,0,0,0,0,0,0,1,1300.00,SPX230217P01300000,0.1,0,0,0,0,0,0,0,4758
Fri Feb 17 2023,SPXW230217C01300000,0,0,2768.1,2792.1,0,0,0,0,0,1300.00,SPXW230217P01300000,0,0,0,0.05,0,0,0,0,114
Fri Feb 17 2023,SPX230217C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPX230217P01400000,0.05,0,0,0,0,0,0,0,2137
Fri Feb 17 2023,SPXW230217C01400000,0,0,2668.1,2692.1,0,0,0,0,0,1400.00,SPXW230217P01400000,0.05,0,0,0.05,0,0,0,0,116
Fri Feb 17 2023,SPX230217C01500000,2634.28,0,0,0,0,0,0,0,50,1500.00,SPX230217P01500000,0.05,0,0,0,0,0,0,0,3079
Fri Feb 17 2023,SPXW230217C01500000,0,0,2568.1,2592.1,0,0,0,0,0,1500.00,SPXW230217P01500000,0.05,0,0,0.05,0,0,0,0,70
Fri Feb 17 2023,SPX230217C01600000,2534.28,0,0,0,0,0,0,0,0,1600.00,SPX230217P01600000,0.05,0,0,0,0,0,0,0,654
