
Standard & Poors 500 Index,Last: 4079.0901,Change:  -11.3199
"Date: February 21, 2023 at 4:32 AM EST",Bid: 4053.26,Ask: 4106.25,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Feb 21 2023,SPXW230221C01000000,3083.52,0,3047.3,3048.5,0,0,1,0,0,1000.00,SPXW230221P01000000,0,0,0,0.05,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C01200000,0,0,2847.3,2848.5,0,0,1,0,0,1200.00,SPXW230221P01200000,0.05,0,0,0.05,0,0,0,0,1
Tue Feb 21 2023,SPXW230221C01400000,2688.22,0,2647.3,2648.5,0,0,1,0,1,1400.00,SPXW230221P01400000,0,0,0,0.05,0,8.0845,0,0,0
Tue Feb 21 2023,SPXW230221C01600000,2472.4,-24.3999,2447.3,2448.5,1,7.8768,1,0,2,1600.00,SPXW230221P01600000,0,0,0,0.05,0,7.0967,0,0,0
Tue Feb 21 2023,SPXW230221C01800000,0,0,2247.3,2248.5,0,6.8591,1,0,0,1800.00,SPXW230221P01800000,0,0,0,0.05,0,6.2255,0,0,0
Tue Feb 21 2023,SPXW230221C02000000,0,0,2047.3,2048.5,0,5.9503,0.9999,0,0,2000.00,SPXW230221P02000000,0,0,0,0.05,0,5.4451,-0.0001,0,0
Tue Feb 21 2023,SPXW230221C02200000,0,0,1847.3,1848.5,0,5.1289,0.9999,0,0,2200.00,SPXW230221P02200000,0.05,0,0,0.05,0,4.7382,-0.0001,0,2
Tue Feb 21 2023,SPXW230221C02400000,1738.1,0,1647.3,1648.5,0,4.3793,0.9999,0,5,2400.00,SPXW230221P02400000,0.05,0,0,0.05,0,4.0911,-0.0001,0,46
Tue Feb 21 2023,SPXW230221C02600000,0,0,1447.3,1448.5,0,3.6895,0.9998,0,0,2600.00,SPXW230221P02600000,0.05,0,0,0.05,0,3.4934,-0.0002,0,113
Tue Feb 21 2023,SPXW230221C02800000,0,0,1247.3,1248.5,0,3.0499,0.9998,0,0,2800.00,SPXW230221P02800000,0.05,0,0,0.05,0,2.9371,-0.0002,0,182
Tue Feb 21 2023,SPXW230221C03000000,0,0,1047.3,1048.5,0,2.4523,0.9997,0,0,3000.00,SPXW230221P03000000,0.05,0,0,0.05,0,2.4159,-0.0003,0,157
Tue Feb 21 2023,SPXW230221C03100000,0,0,947.3,948.5,0,2.1666,0.9996,0,0,3100.00,SPXW230221P03100000,0.05,0.025,0,0.05,0,2.1664,-0.0004,0,2755
Tue Feb 21 2023,SPXW230221C03200000,876.6,-21.25,847.3,848.5,5,1.8878,0.9995,0,6,3200.00,SPXW230221P03200000,0.05,0,0,0.05,2,1.9235,-0.0005,0,3899
Tue Feb 21 2023,SPXW230221C03250000,0,0,797.3,798.5,0,1.7504,0.9995,0,0,3250.00,SPXW230221P03250000,0.05,-0.025,0,0.05,519,1.8044,-0.0005,0,741
Tue Feb 21 2023,SPXW230221C03300000,797.73,0,747.3,748.5,0,1.6135,0.9994,0,3,3300.00,SPXW230221P03300000,0.05,-0.05,0,0.05,691,1.6866,-0.0006,0,5435
Tue Feb 21 2023,SPXW230221C03350000,0,0,697.3,698.5,0,1.4765,0.9994,0,0,3350.00,SPXW230221P03350000,0.05,-0.05,0,0.05,675,1.5703,-0.0006,0,1047
Tue Feb 21 2023,SPXW230221C03400000,731.64,0,647.3,648.5,0,1.3375,0.9993,0,3,3400.00,SPXW230221P03400000,0.05,-0.075,0,0.05,5031,1.4552,-0.0007,0,26376
Tue Feb 21 2023,SPXW230221C03450000,0,0,597.3,598.5,0,1.192,0.9992,0,0,3450.00,SPXW230221P03450000,0.05,-0.075,0,0.05,10218,1.3413,-0.0008,0,10727
Tue Feb 21 2023,SPXW230221C03500000,606.84,0,547.3,548.5,0,1.0179,0.9991,0,1,3500.00,SPXW230221P03500000,0.05,-0.15,0,0.05,5300,1.2285,-0.0009,0,11222
Tue Feb 21 2023,SPXW230221C03525000,596.55,0,522.3,523.5,0,0,0.9991,0,0,3525.00,SPXW230221P03525000,0.05,-0.15,0,0.05,3325,1.1725,-0.0009,0,13021
Tue Feb 21 2023,SPXW230221C03550000,0,0,497.3,498.5,0,0,0.999,0,0,3550.00,SPXW230221P03550000,0.05,-0.2,0,0.05,3703,1.1162,-0.001,0,4334
Tue Feb 21 2023,SPXW230221C03575000,0,0,472.3,473.5,0,0,0.999,0,0,3575.00,SPXW230221P03575000,0.05,-0.175,0,0.05,6148,1.0606,-0.001,0,6678
Tue Feb 21 2023,SPXW230221C03600000,0,0,447.3,448.5,0,0,0.9989,0,0,3600.00,SPXW230221P03600000,0.05,-0.2,0,0.05,6614,1.0053,-0.0011,0,12028
Tue Feb 21 2023,SPXW230221C03625000,0,0,422.4,423.5,0,0.9936,0.9988,0,0,3625.00,SPXW230221P03625000,0.05,-0.25,0,0.05,2583,0.9501,-0.0012,0,2583
Tue Feb 21 2023,SPXW230221C03650000,426.25,-22.05,397.4,398.5,1,0.9338,0.9988,0,2,3650.00,SPXW230221P03650000,0.1,-0.2,0,0.05,4724,0.8951,-0.0012,0,5850
Tue Feb 21 2023,SPXW230221C03675000,451.25,0,372.4,373.5,0,0.8743,0.9987,0,1,3675.00,SPXW230221P03675000,0.1,-0.25,0,0.05,7710,0.8403,-0.0013,0,7104
Tue Feb 21 2023,SPXW230221C03700000,358.22,-40.18,347.4,348.5,3,0.8768,0.9986,0,7,3700.00,SPXW230221P03700000,0.1,-0.3,0,0.05,3206,0.7856,-0.0014,0,2578
Tue Feb 21 2023,SPXW230221C03725000,0,0,322.4,323.5,0,0.8155,0.9984,0,0,3725.00,SPXW230221P03725000,0.1,-0.35,0,0.05,4482,0.7311,-0.0016,0,2209
Tue Feb 21 2023,SPXW230221C03750000,348.4,0,297.4,298.5,0,0.7545,0.9983,0,4,3750.00,SPXW230221P03750000,0.1,-0.4,0,0.05,2014,0.6766,-0.0017,0,1598
Tue Feb 21 2023,SPXW230221C03775000,353.1,0,272.4,273.5,0,0.6936,0.9982,0.0001,1,3775.00,SPXW230221P03775000,0.1,-0.475,0,0.05,860,0.6222,-0.0018,0.0001,1513
Tue Feb 21 2023,SPXW230221C03800000,277.62,-21.08,247.4,248.5,1,0.6329,0.998,0.0001,11,3800.00,SPXW230221P03800000,0.12,-0.555,0,0.05,285,0.5678,-0.002,0.0001,2466
Tue Feb 21 2023,SPXW230221C03810000,295.45,0,237.4,238.5,0,0.6086,0.9978,0.0001,1,3810.00,SPXW230221P03810000,0.15,-0.575,0,0.05,90,0.5461,-0.0022,0.0001,88
Tue Feb 21 2023,SPXW230221C03820000,285.86,0,227.4,228.5,0,0.5843,0.9977,0.0001,24,3820.00,SPXW230221P03820000,0.15,-0.625,0,0.05,451,0.5243,-0.0023,0.0001,917
Tue Feb 21 2023,SPXW230221C03825000,300.63,0,222.4,223.5,0,0.5722,0.9977,0.0001,5,3825.00,SPXW230221P03825000,0.05,-0.1,0,0.05,366,0.5134,-0.0023,0.0001,1245
Tue Feb 21 2023,SPXW230221C03830000,233.31,-35.94,217.4,218.5,1,0.5601,0.9976,0.0001,12,3830.00,SPXW230221P03830000,0.15,-0.05,0,0.05,301,0.5026,-0.0024,0.0001,581
