
Standard & Poors 500 Index,Last: 3997.3401,Change:  -81.7499
"Date: February 21, 2023 at 8:23 PM EST",Bid: 3961.8899,Ask: 4042.1201,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Feb 21 2023,SPXW230221C01000000,3083.52,0,0,0,0,0,0,0,0,1000.00,SPXW230221P01000000,0,0,0,0,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPXW230221P01200000,0.05,0,0,0,0,0,0,0,1
Tue Feb 21 2023,SPXW230221C01400000,2688.22,0,0,0,0,0,0,0,1,1400.00,SPXW230221P01400000,0,0,0,0,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C01600000,2472.4,0,0,0,0,0,0,0,2,1600.00,SPXW230221P01600000,0,0,0,0,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230221P01800000,0,0,0,0,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230221P02000000,0,0,0,0,0,0,0,0,0
Tue Feb 21 2023,SPXW230221C02200000,0,0,0,0,0,0,0,0,0,2200.00,SPXW230221P02200000,0.05,0,0,0,0,0,0,0,2
Tue Feb 21 2023,SPXW230221C02400000,1738.1,0,0,0,0,0,0,0,5,2400.00,SPXW230221P02400000,0.05,0,0,0,0,0,0,0,46
Tue Feb 21 2023,SPXW230221C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230221P02600000,0.05,0,0,0,0,0,0,0,113
Tue Feb 21 2023,SPXW230221C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230221P02800000,0.05,0,0,0,0,0,0,0,182
Tue Feb 21 2023,SPXW230221C03000000,0,0,0,0,0,0,0,0,0,3000.00,SPXW230221P03000000,0.05,0,0,0,0,0,0,0,157
Tue Feb 21 2023,SPXW230221C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230221P03100000,0.05,0,0,0,0,0,0,0,2755
Tue Feb 21 2023,SPXW230221C03200000,803.06,-72.49,0,0,6,0,0,0,6,3200.00,SPXW230221P03200000,0.05,0,0,0,0,0,0,0,3899
Tue Feb 21 2023,SPXW230221C03250000,756.72,-68.83,0,0,2,0,0,0,0,3250.00,SPXW230221P03250000,0.05,0,0,0,0,0,0,0,741
Tue Feb 21 2023,SPXW230221C03300000,700.63,-74.92,0,0,3,0,0,0,3,3300.00,SPXW230221P03300000,0.05,0,0,0,0,0,0,0,5435
Tue Feb 21 2023,SPXW230221C03350000,0,0,0,0,0,0,0,0,0,3350.00,SPXW230221P03350000,0.05,0.025,0,0,1,0,0,0,1047
Tue Feb 21 2023,SPXW230221C03400000,603.04,-72.46,0,0,1,0,0,0,3,3400.00,SPXW230221P03400000,0.05,0,0,0,0,0,0,0,26376
