
Standard & Poors 500 Index,Last: 3982.24,Change:  12.2
"Date: February 27, 2023 at 8:25 PM EST",Bid: 3956.72,Ask: 4010.21,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Feb 27 2023,SPXW230227C01000000,2958.38,0,0,0,0,0,0,0,0,1000.00,SPXW230227P01000000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPXW230227P01200000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230227P01400000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230227P01600000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230227P01800000,0.12,0,0,0,0,0,0,0,2
Mon Feb 27 2023,SPXW230227C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230227P02000000,0.05,0,0,0,0,0,0,0,14
Mon Feb 27 2023,SPXW230227C02200000,1756.48,0,0,0,0,0,0,0,2,2200.00,SPXW230227P02200000,0.2,0,0,0,0,0,0,0,1
Mon Feb 27 2023,SPXW230227C02400000,0,0,0,0,0,0,0,0,0,2400.00,SPXW230227P02400000,0.05,0,0,0,0,0,0,0,6
Mon Feb 27 2023,SPXW230227C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230227P02600000,0.05,0,0,0,0,0,0,0,13
Mon Feb 27 2023,SPXW230227C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230227P02800000,0.05,0,0,0,0,0,0,0,254
Mon Feb 27 2023,SPXW230227C03000000,961.51,0,0,0,0,0,0,0,3,3000.00,SPXW230227P03000000,0.05,0,0,0,0,0,0,0,116
Mon Feb 27 2023,SPXW230227C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230227P03100000,0.05,0,0,0,0,0,0,0,372
Mon Feb 27 2023,SPXW230227C03150000,0,0,0,0,0,0,0,0,0,3150.00,SPXW230227P03150000,0.05,0,0,0,0,0,0,0,175
Mon Feb 27 2023,SPXW230227C03200000,778.15,15.7,0,0,5,0,0,0,5,3200.00,SPXW230227P03200000,0.05,0,0,0,0,0,0,0,1475
Mon Feb 27 2023,SPXW230227C03250000,0,0,0,0,0,0,0,0,0,3250.00,SPXW230227P03250000,0.05,0,0,0,0,0,0,0,1506
Mon Feb 27 2023,SPXW230227C03300000,0,0,0,0,0,0,0,0,1,3300.00,SPXW230227P03300000,0.1,0,0,0,0,0,0,0,1531
Mon Feb 27 2023,SPXW230227C03350000,618.78,0,0,0,0,0,0,0,4,3350.00,SPXW230227P03350000,0.05,0,0,0,0,0,0,0,4664
Mon Feb 27 2023,SPXW230227C03400000,580.1,17.55,0,0,3,0,0,0,5,3400.00,SPXW230227P03400000,0.05,0.025,0,0,1,0,0,0,26235
Mon Feb 27 2023,SPXW230227C03450000,0,0,0,0,0,0,0,0,0,3450.00,SPXW230227P03450000,0.05,0,0,0,0,0,0,0,10981
Mon Feb 27 2023,SPXW230227C03500000,531.2,0,0,0,0,0,0,0,0,3500.00,SPXW230227P03500000,0.05,0,0,0,0,0,0,0,14134
Mon Feb 27 2023,SPXW230227C03550000,0,0,0,0,0,0,0,0,0,3550.00,SPXW230227P03550000,0.05,0,0,0,0,0,0,0,4419
Mon Feb 27 2023,SPXW230227C03600000,415.25,0,0,0,0,0,0,0,3,3600.00,SPXW230227P03600000,0.05,-0.025,0,0,6,0,0,0,21064
Mon Feb 27 2023,SPXW230227C03625000,0,0,0,0,0,0,0,0,0,3625.00,SPXW230227P03625000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03650000,330.88,18.33,0,0,2,0,0,0,3,3650.00,SPXW230227P03650000,0.1,0,0,0,0,0,0,0,5196
Mon Feb 27 2023,SPXW230227C03675000,0,0,0,0,0,0,0,0,0,3675.00,SPXW230227P03675000,0.05,-0.075,0,0,1,0,0,0,729
Mon Feb 27 2023,SPXW230227C03680000,0,0,0,0,0,0,0,0,0,3680.00,SPXW230227P03680000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03685000,0,0,0,0,0,0,0,0,0,3685.00,SPXW230227P03685000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03690000,0,0,0,0,0,0,0,0,0,3690.00,SPXW230227P03690000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03695000,0,0,0,0,0,0,0,0,0,3695.00,SPXW230227P03695000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03700000,279.7,17.2,0,0,2,0,0,0,3,3700.00,SPXW230227P03700000,0.05,-0.075,0,0,4,0,0,0,2501
Mon Feb 27 2023,SPXW230227C03705000,0,0,0,0,0,0,0,0,0,3705.00,SPXW230227P03705000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03710000,0,0,0,0,0,0,0,0,0,3710.00,SPXW230227P03710000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03715000,0,0,0,0,0,0,0,0,0,3715.00,SPXW230227P03715000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03720000,0,0,0,0,0,0,0,0,0,3720.00,SPXW230227P03720000,0.1,0,0,0,0,0,0,0,2068
Mon Feb 27 2023,SPXW230227C03725000,257.17,19.67,0,0,8,0,0,0,8,3725.00,SPXW230227P03725000,0.1,0,0,0,0,0,0,0,1247
Mon Feb 27 2023,SPXW230227C03730000,250.63,18.13,0,0,4,0,0,0,4,3730.00,SPXW230227P03730000,0.15,0,0,0,0,0,0,0,1501
Mon Feb 27 2023,SPXW230227C03735000,0,0,0,0,0,0,0,0,0,3735.00,SPXW230227P03735000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03740000,273.58,51.08,0,0,2,0,0,0,0,3740.00,SPXW230227P03740000,0.15,0,0,0,0,0,0,0,577
Mon Feb 27 2023,SPXW230227C03745000,0,0,0,0,0,0,0,0,0,3745.00,SPXW230227P03745000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03750000,231.1,18.5,0,0,10,0,0,0,45,3750.00,SPXW230227P03750000,0.05,-0.1,0,0,2,0,0,0,1657
Mon Feb 27 2023,SPXW230227C03755000,0,0,0,0,0,0,0,0,0,3755.00,SPXW230227P03755000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03760000,0,0,0,0,0,0,0,0,0,3760.00,SPXW230227P03760000,0.15,0,0,0,0,0,0,0,1643
Mon Feb 27 2023,SPXW230227C03765000,0,0,0,0,0,0,0,0,0,3765.00,SPXW230227P03765000,0.05,0.05,0,0,1,0,0,0,0
Mon Feb 27 2023,SPXW230227C03770000,210.83,18.18,0,0,2,0,0,0,2,3770.00,SPXW230227P03770000,0.05,-0.1,0,0,12,0,0,0,2004
Mon Feb 27 2023,SPXW230227C03775000,205.83,18.18,0,0,1,0,0,0,1,3775.00,SPXW230227P03775000,0.05,-0.125,0,0,4,0,0,0,7968
Mon Feb 27 2023,SPXW230227C03780000,194.11,11.51,0,0,2,0,0,0,2,3780.00,SPXW230227P03780000,0.05,-0.125,0,0,2,0,0,0,725
Mon Feb 27 2023,SPXW230227C03785000,0,0,0,0,0,0,0,0,0,3785.00,SPXW230227P03785000,0,0,0,0,0,0,0,0,0
Mon Feb 27 2023,SPXW230227C03790000,0,0,0,0,0,0,0,0,0,3790.00,SPXW230227P03790000,0.05,-0.125,0,0,9,0,0,0,702
Mon Feb 27 2023,SPXW230227C03795000,0,0,0,0,0,0,0,0,0,3795.00,SPXW230227P03795000,0.05,-0.125,0,0,4,0,0,0,231
Mon Feb 27 2023,SPXW230227C03800000,180.9,18.45,0,0,33,0,0,0,37,3800.00,SPXW230227P03800000,0.05,-0.125,0,0,20,0,0,0,6033
Mon Feb 27 2023,SPXW230227C03805000,0,0,0,0,0,0,0,0,0,3805.00,SPXW230227P03805000,0.05,-0.15,0,0,106,0,0,0,2234
Mon Feb 27 2023,SPXW230227C03810000,170.21,17.56,0,0,1,0,0,0,1,3810.00,SPXW230227P03810000,0.05,-0.15,0,0,189,0,0,0,981
