
Standard & Poors 500 Index,Last: 3992.01,Change:  5.64
"Date: March 8, 2023 at 8:37 PM EST",Bid: 3960.45,Ask: 4028.5901,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 08 2023,SPXW230308C01000000,0,0,0,0,0,0,0,0,0,1000.00,SPXW230308P01000000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C01200000,0,0,0,0,0,0,0,0,7,1200.00,SPXW230308P01200000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230308P01400000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C01600000,2386.1,0,0,0,0,0,0,0,1,1600.00,SPXW230308P01600000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230308P01800000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230308P02000000,0.05,0,0,0,0,0,0,0,16
Wed Mar 08 2023,SPXW230308C02200000,1856.7,0,0,0,0,0,0,0,7,2200.00,SPXW230308P02200000,0.05,0,0,0,0,0,0,0,2
Wed Mar 08 2023,SPXW230308C02400000,0,0,0,0,0,0,0,0,0,2400.00,SPXW230308P02400000,0.05,0,0,0,0,0,0,0,7
Wed Mar 08 2023,SPXW230308C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230308P02600000,0.05,0,0,0,0,0,0,0,5
Wed Mar 08 2023,SPXW230308C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230308P02800000,0.05,0,0,0,0,0,0,0,55
Wed Mar 08 2023,SPXW230308C03000000,0,0,0,0,0,0,0,0,0,3000.00,SPXW230308P03000000,0.05,0,0,0,0,0,0,0,1250
Wed Mar 08 2023,SPXW230308C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230308P03100000,0.05,0,0,0,0,0,0,0,129
Wed Mar 08 2023,SPXW230308C03200000,0,0,0,0,0,0,0,0,0,3200.00,SPXW230308P03200000,0.05,0,0,0,0,0,0,0,1267
Wed Mar 08 2023,SPXW230308C03250000,748.65,8.5,0,0,2,0,0,0,0,3250.00,SPXW230308P03250000,0.05,0,0,0,0,0,0,0,2110
Wed Mar 08 2023,SPXW230308C03300000,838.38,0,0,0,0,0,0,0,2,3300.00,SPXW230308P03300000,0.05,0,0,0,0,0,0,0,13558
Wed Mar 08 2023,SPXW230308C03350000,0,0,0,0,0,0,0,0,0,3350.00,SPXW230308P03350000,0.05,0,0,0,0,0,0,0,6506
Wed Mar 08 2023,SPXW230308C03400000,583.1,-7.15,0,0,3,0,0,0,20,3400.00,SPXW230308P03400000,0.05,0,0,0,0,0,0,0,3796
Wed Mar 08 2023,SPXW230308C03450000,692.37,0,0,0,0,0,0,0,106,3450.00,SPXW230308P03450000,0.05,0.025,0,0,1,0,0,0,5010
Wed Mar 08 2023,SPXW230308C03500000,481.23,-9.02,0,0,1,0,0,0,2,3500.00,SPXW230308P03500000,0.05,0,0,0,0,0,0,0,21691
Wed Mar 08 2023,SPXW230308C03550000,431.18,-9.07,0,0,1,0,0,0,1,3550.00,SPXW230308P03550000,0.05,0,0,0,0,0,0,0,9355
Wed Mar 08 2023,SPXW230308C03600000,380.25,-10,0,0,2,0,0,0,15,3600.00,SPXW230308P03600000,0.07,0,0,0,0,0,0,0,2074
Wed Mar 08 2023,SPXW230308C03625000,350.19,-15.06,0,0,2,0,0,0,2,3625.00,SPXW230308P03625000,0.07,0,0,0,0,0,0,0,885
Wed Mar 08 2023,SPXW230308C03650000,325.1,-15.15,0,0,3,0,0,0,3,3650.00,SPXW230308P03650000,0.05,-0.025,0,0,8,0,0,0,1715
Wed Mar 08 2023,SPXW230308C03675000,299.45,-15.8,0,0,1,0,0,0,1,3675.00,SPXW230308P03675000,0.05,-0.025,0,0,256,0,0,0,1863
Wed Mar 08 2023,SPXW230308C03680000,296.29,-13.96,0,0,4,0,0,0,4,3680.00,SPXW230308P03680000,0.1,0,0,0,0,0,0,0,53
Wed Mar 08 2023,SPXW230308C03690000,284.6,-15.65,0,0,2,0,0,0,2,3690.00,SPXW230308P03690000,0.1,0,0,0,0,0,0,0,78
Wed Mar 08 2023,SPXW230308C03700000,255.02,0,0,0,0,0,0,0,153,3700.00,SPXW230308P03700000,0.05,-0.025,0,0,2,0,0,0,4001
Wed Mar 08 2023,SPXW230308C03710000,268.38,-11.92,0,0,2,0,0,0,2,3710.00,SPXW230308P03710000,0.05,-0.05,0,0,1,0,0,0,586
Wed Mar 08 2023,SPXW230308C03720000,258.68,-11.62,0,0,1,0,0,0,2,3720.00,SPXW230308P03720000,0.1,0,0,0,0,0,0,0,876
Wed Mar 08 2023,SPXW230308C03725000,250.38,-14.92,0,0,8,0,0,0,8,3725.00,SPXW230308P03725000,0.05,-0.025,0,0,25,0,0,0,914
Wed Mar 08 2023,SPXW230308C03730000,246.05,-14.25,0,0,3,0,0,0,3,3730.00,SPXW230308P03730000,0.05,-0.025,0,0,1,0,0,0,345
Wed Mar 08 2023,SPXW230308C03740000,237.25,-13.05,0,0,35,0,0,0,36,3740.00,SPXW230308P03740000,0.05,-0.05,0,0,100,0,0,0,4461
Wed Mar 08 2023,SPXW230308C03750000,227.8,-12.5,0,0,8,0,0,0,19,3750.00,SPXW230308P03750000,0.05,-0.075,0,0,52,0,0,0,1959
Wed Mar 08 2023,SPXW230308C03755000,219.58,-15.72,0,0,5,0,0,0,5,3755.00,SPXW230308P03755000,0.05,-0.075,0,0,5,0,0,0,279
Wed Mar 08 2023,SPXW230308C03760000,217.24,-13.06,0,0,35,0,0,0,35,3760.00,SPXW230308P03760000,0.05,-0.075,0,0,1,0,0,0,1436
Wed Mar 08 2023,SPXW230308C03765000,214.65,-10.65,0,0,1,0,0,0,1,3765.00,SPXW230308P03765000,0.05,-0.075,0,0,127,0,0,0,289
Wed Mar 08 2023,SPXW230308C03770000,209.76,-10.54,0,0,1,0,0,0,1,3770.00,SPXW230308P03770000,0.05,-0.075,0,0,1,0,0,0,5410
Wed Mar 08 2023,SPXW230308C03775000,360.79,0,0,0,0,0,0,0,2,3775.00,SPXW230308P03775000,0.05,-0.075,0,0,227,0,0,0,1372
Wed Mar 08 2023,SPXW230308C03780000,193.65,-16.7,0,0,23,0,0,0,23,3780.00,SPXW230308P03780000,0.05,-0.075,0,0,475,0,0,0,2132
Wed Mar 08 2023,SPXW230308C03785000,212.8,7.45,0,0,1,0,0,0,1,3785.00,SPXW230308P03785000,0.05,-0.075,0,0,1,0,0,0,546
Wed Mar 08 2023,SPXW230308C03790000,195.66,-4.69,0,0,1,0,0,0,1,3790.00,SPXW230308P03790000,0.15,0,0,0,0,0,0,0,756
Wed Mar 08 2023,SPXW230308C03795000,204.43,0,0,0,0,0,0,0,1,3795.00,SPXW230308P03795000,0.13,0,0,0,0,0,0,0,485
Wed Mar 08 2023,SPXW230308C03800000,192.5,2.15,0,0,36,0,0,0,119,3800.00,SPXW230308P03800000,0.03,-0.12,0,0,3,0,0,0,4811
Wed Mar 08 2023,SPXW230308C03805000,174.29,-11.06,0,0,1,0,0,0,1,3805.00,SPXW230308P03805000,0.05,-0.1,0,0,8,0,0,0,701
Wed Mar 08 2023,SPXW230308C03810000,0,0,0,0,0,0,0,0,0,3810.00,SPXW230308P03810000,0.05,-0.1,0,0,77,0,0,0,1993
Wed Mar 08 2023,SPXW230308C03815000,0,0,0,0,0,0,0,0,0,3815.00,SPXW230308P03815000,0.05,-0.125,0,0,24,0,0,0,395
Wed Mar 08 2023,SPXW230308C03820000,177.55,7.2,0,0,1,0,0,0,1,3820.00,SPXW230308P03820000,0.05,-0.125,0,0,65,0,0,0,606
Wed Mar 08 2023,SPXW230308C03825000,161.02,-4.38,0,0,3,0,0,0,5,3825.00,SPXW230308P03825000,0.05,-0.125,0,0,201,0,0,0,1222
Wed Mar 08 2023,SPXW230308C03830000,166.12,5.72,0,0,4,0,0,0,6,3830.00,SPXW230308P03830000,0.05,-0.125,0,0,728,0,0,0,1001
Wed Mar 08 2023,SPXW230308C03835000,162.3,7.25,0,0,3,0,0,0,3,3835.00,SPXW230308P03835000,0.05,-0.15,0,0,801,0,0,0,506
Wed Mar 08 2023,SPXW230308C03840000,155.73,5.68,0,0,1,0,0,0,1,3840.00,SPXW230308P03840000,0.05,-0.15,0,0,381,0,0,0,762
Wed Mar 08 2023,SPXW230308C03845000,0,0,0,0,0,0,0,0,0,3845.00,SPXW230308P03845000,0.05,-0.175,0,0,169,0,0,0,866
Wed Mar 08 2023,SPXW230308C03850000,143.9,3.85,0,0,9,0,0,0,26,3850.00,SPXW230308P03850000,0.05,-0.175,0,0,231,0,0,0,12017
Wed Mar 08 2023,SPXW230308C03855000,118.83,-16.27,0,0,19,0,0,0,75,3855.00,SPXW230308P03855000,0.05,-0.175,0,0,275,0,0,0,713
Wed Mar 08 2023,SPXW230308C03860000,0,0,0,0,0,0,0,0,0,3860.00,SPXW230308P03860000,0.05,-0.2,0,0,243,0,0,0,1245
Wed Mar 08 2023,SPXW230308C03865000,114.48,-10.67,0,0,3,0,0,0,4,3865.00,SPXW230308P03865000,0.05,-0.225,0,0,832,0,0,0,1689
Wed Mar 08 2023,SPXW230308C03870000,0,0,0,0,0,0,0,0,0,3870.00,SPXW230308P03870000,0.05,-0.225,0,0,891,0,0,0,930
Wed Mar 08 2023,SPXW230308C03875000,105.9,-9.25,0,0,41,0,0,0,8,3875.00,SPXW230308P03875000,0.05,-0.25,0,0,1635,0,0,0,1025
Wed Mar 08 2023,SPXW230308C03880000,111.5,1.3,0,0,7,0,0,0,307,3880.00,SPXW230308P03880000,0.05,-0.275,0,0,2110,0,0,0,2904
Wed Mar 08 2023,SPXW230308C03885000,0,0,0,0,0,0,0,0,0,3885.00,SPXW230308P03885000,0.05,-0.3,0,0,1619,0,0,0,861
Wed Mar 08 2023,SPXW230308C03890000,100.7,0.45,0,0,6,0,0,0,4,3890.00,SPXW230308P03890000,0.05,-0.325,0,0,1661,0,0,0,2065
Wed Mar 08 2023,SPXW230308C03895000,91.04,-4.31,0,0,1,0,0,0,2,3895.00,SPXW230308P03895000,0.05,-0.375,0,0,1754,0,0,0,3477
Wed Mar 08 2023,SPXW230308C03900000,91.7,1.3,0,0,146,0,0,0,99,3900.00,SPXW230308P03900000,0.05,-0.425,0,0,3753,0,0,0,7808
Wed Mar 08 2023,SPXW230308C03905000,69.8,-15.65,0,0,2,0,0,0,3,3905.00,SPXW230308P03905000,0.05,-0.475,0,0,3446,0,0,0,1997
Wed Mar 08 2023,SPXW230308C03910000,64.58,-15.92,0,0,26,0,0,0,31,3910.00,SPXW230308P03910000,0.05,-0.575,0,0,5427,0,0,0,3381
Wed Mar 08 2023,SPXW230308C03915000,64.79,-10.86,0,0,30,0,0,0,62,3915.00,SPXW230308P03915000,0.05,-0.7,0,0,7236,0,0,0,5843
Wed Mar 08 2023,SPXW230308C03920000,53.57,-17.18,0,0,26,0,0,0,167,3920.00,SPXW230308P03920000,0.05,-0.85,0,0,11200,0,0,0,2180
Wed Mar 08 2023,SPXW230308C03925000,67.96,1.46,0,0,33,0,0,0,86,3925.00,SPXW230308P03925000,0.05,-1.05,0,0,8859,0,0,0,4607
Wed Mar 08 2023,SPXW230308C03930000,59.9,-1.25,0,0,61,0,0,0,527,3930.00,SPXW230308P03930000,0.05,-1.35,0,0,14091,0,0,0,4741
Wed Mar 08 2023,SPXW230308C03935000,56.9,-0.2,0,0,109,0,0,0,71,3935.00,SPXW230308P03935000,0.05,-1.7,0,0,13872,0,0,0,2272
Wed Mar 08 2023,SPXW230308C03940000,52.32,0.07,0,0,309,0,0,0,562,3940.00,SPXW230308P03940000,0.05,-2.15,0,0,27308,0,0,0,1468
Wed Mar 08 2023,SPXW230308C03945000,46.2,-1.35,0,0,184,0,0,0,144,3945.00,SPXW230308P03945000,0.05,-2.725,0,0,18292,0,0,0,1220
Wed Mar 08 2023,SPXW230308C03950000,42.4,-1.1,0,0,950,0,0,0,540,3950.00,SPXW230308P03950000,0.05,-3.4,0,0,50653,0,0,0,3328
Wed Mar 08 2023,SPXW230308C03955000,36.53,-3.12,0,0,519,0,0,0,190,3955.00,SPXW230308P03955000,0.05,-4.25,0,0,26518,0,0,0,1661
Wed Mar 08 2023,SPXW230308C03960000,32.5,-2.85,0,0,1565,0,0,0,216,3960.00,SPXW230308P03960000,0.05,-5.3,0,0,44457,0,0,0,1530
Wed Mar 08 2023,SPXW230308C03965000,26.88,-4.87,0,0,1620,0,0,0,330,3965.00,SPXW230308P03965000,0.05,-6.45,0,0,39830,0,0,0,1617
Wed Mar 08 2023,SPXW230308C03970000,22,-5.9,0,0,5876,0,0,0,250,3970.00,SPXW230308P03970000,0.05,-7.7,0,0,51585,0,0,0,793
Wed Mar 08 2023,SPXW230308C03975000,16.5,-7.95,0,0,14787,0,0,0,795,3975.00,SPXW230308P03975000,0.05,-9.45,0,0,41703,0,0,0,1411
Wed Mar 08 2023,SPXW230308C03980000,13,-8.2,0,0,29428,0,0,0,549,3980.00,SPXW230308P03980000,0.05,-11.15,0,0,40221,0,0,0,1500
Wed Mar 08 2023,SPXW230308C03985000,7.3,-10.95,0,0,38193,0,0,0,1058,3985.00,SPXW230308P03985000,0.05,-13.3,0,0,27661,0,0,0,1370
Wed Mar 08 2023,SPXW230308C03990000,2,-13.6,0,0,50309,0,0,0,955,3990.00,SPXW230308P03990000,0.05,-15.45,0,0,26554,0,0,0,2113
Wed Mar 08 2023,SPXW230308C03995000,0.05,-13.15,0,0,41181,0,0,0,819,3995.00,SPXW230308P03995000,2.6,-15.55,0,0,12209,0,0,0,716
Wed Mar 08 2023,SPXW230308C04000000,0.05,-10.95,0,0,57211,0,0,0,2697,4000.00,SPXW230308P04000000,8,-12.9,0,0,9478,0,0,0,3721
Wed Mar 08 2023,SPXW230308C04005000,0.05,-9.15,0,0,26325,0,0,0,743,4005.00,SPXW230308P04005000,12.6,-11.3,0,0,1975,0,0,0,875
Wed Mar 08 2023,SPXW230308C04010000,0.05,-7.4,0,0,31907,0,0,0,2048,4010.00,SPXW230308P04010000,17.64,-9.81,0,0,1793,0,0,0,1679
Wed Mar 08 2023,SPXW230308C04015000,0.05,-5.95,0,0,22896,0,0,0,2439,4015.00,SPXW230308P04015000,24.11,-6.79,0,0,1297,0,0,0,1204
Wed Mar 08 2023,SPXW230308C04020000,0.05,-4.75,0,0,30713,0,0,0,1626,4020.00,SPXW230308P04020000,28.31,-6.39,0,0,1819,0,0,0,918
Wed Mar 08 2023,SPXW230308C04025000,0.05,-3.7,0,0,22701,0,0,0,3178,4025.00,SPXW230308P04025000,33.41,-5.24,0,0,750,0,0,0,1700
Wed Mar 08 2023,SPXW230308C04030000,0.05,-2.875,0,0,22487,0,0,0,1332,4030.00,SPXW230308P04030000,37.68,-5.17,0,0,382,0,0,0,410
Wed Mar 08 2023,SPXW230308C04035000,0.05,-2.25,0,0,16884,0,0,0,673,4035.00,SPXW230308P04035000,43.07,-4.08,0,0,452,0,0,0,346
Wed Mar 08 2023,SPXW230308C04040000,0.05,-1.7,0,0,11700,0,0,0,1468,4040.00,SPXW230308P04040000,47.96,-3.69,0,0,633,0,0,0,1280
Wed Mar 08 2023,SPXW230308C04045000,0.05,-1.3,0,0,10255,0,0,0,2110,4045.00,SPXW230308P04045000,63.89,7.44,0,0,122,0,0,0,415
Wed Mar 08 2023,SPXW230308C04050000,0.05,-1,0,0,12441,0,0,0,4331,4050.00,SPXW230308P04050000,57.57,-3.63,0,0,358,0,0,0,4041
Wed Mar 08 2023,SPXW230308C04055000,0.05,-0.75,0,0,5660,0,0,0,2536,4055.00,SPXW230308P04055000,80,14.35,0,0,32,0,0,0,734
Wed Mar 08 2023,SPXW230308C04060000,0.05,-0.575,0,0,4287,0,0,0,1654,4060.00,SPXW230308P04060000,79.69,8.99,0,0,61,0,0,0,706
Wed Mar 08 2023,SPXW230308C04065000,0.05,-0.4,0,0,2556,0,0,0,1342,4065.00,SPXW230308P04065000,72.51,-3.04,0,0,83,0,0,0,374
Wed Mar 08 2023,SPXW230308C04070000,0.05,-0.3,0,0,4489,0,0,0,1837,4070.00,SPXW230308P04070000,77.1,-3.3,0,0,34,0,0,0,695
Wed Mar 08 2023,SPXW230308C04075000,0.05,-0.2,0,0,2329,0,0,0,1643,4075.00,SPXW230308P04075000,98.95,13.75,0,0,109,0,0,0,194
Wed Mar 08 2023,SPXW230308C04080000,0.05,-0.15,0,0,2022,0,0,0,2450,4080.00,SPXW230308P04080000,88.62,-1.58,0,0,56,0,0,0,441
Wed Mar 08 2023,SPXW230308C04085000,0.05,-0.125,0,0,1630,0,0,0,3445,4085.00,SPXW230308P04085000,104.81,9.61,0,0,42,0,0,0,142
Wed Mar 08 2023,SPXW230308C04090000,0.05,-0.075,0,0,1929,0,0,0,1487,4090.00,SPXW230308P04090000,103.54,3.29,0,0,34,0,0,0,391
Wed Mar 08 2023,SPXW230308C04095000,0.05,-0.075,0,0,1294,0,0,0,1185,4095.00,SPXW230308P04095000,118.24,13.09,0,0,18,0,0,0,50
Wed Mar 08 2023,SPXW230308C04100000,0.05,-0.025,0,0,508,0,0,0,5613,4100.00,SPXW230308P04100000,124.5,14.3,0,0,27,0,0,0,876
Wed Mar 08 2023,SPXW230308C04105000,0.05,-0.025,0,0,400,0,0,0,1422,4105.00,SPXW230308P04105000,129.17,14.02,0,0,14,0,0,0,49
Wed Mar 08 2023,SPXW230308C04110000,0.05,-0.025,0,0,228,0,0,0,2711,4110.00,SPXW230308P04110000,124.55,0,0,0,0,0,0,0,22
Wed Mar 08 2023,SPXW230308C04115000,0.05,-0.025,0,0,71,0,0,0,1025,4115.00,SPXW230308P04115000,141.24,16.09,0,0,3,0,0,0,17
Wed Mar 08 2023,SPXW230308C04120000,0.05,-0.025,0,0,118,0,0,0,1641,4120.00,SPXW230308P04120000,149.12,18.97,0,0,1,0,0,0,30
Wed Mar 08 2023,SPXW230308C04125000,0.05,0.025,0,0,94,0,0,0,1593,4125.00,SPXW230308P04125000,137.9,2.75,0,0,95,0,0,0,50
Wed Mar 08 2023,SPXW230308C04130000,0.05,0.025,0,0,72,0,0,0,558,4130.00,SPXW230308P04130000,144.21,4.06,0,0,6,0,0,0,45
Wed Mar 08 2023,SPXW230308C04135000,0.05,0.025,0,0,8,0,0,0,622,4135.00,SPXW230308P04135000,125.05,0,0,0,0,0,0,0,24
Wed Mar 08 2023,SPXW230308C04140000,0.05,0.025,0,0,33,0,0,0,1867,4140.00,SPXW230308P04140000,162.82,12.67,0,0,4,0,0,0,43
Wed Mar 08 2023,SPXW230308C04145000,0.05,0.025,0,0,5,0,0,0,1090,4145.00,SPXW230308P04145000,169.8,14.65,0,0,1,0,0,0,27
Wed Mar 08 2023,SPXW230308C04150000,0.05,0.025,0,0,23,0,0,0,2930,4150.00,SPXW230308P04150000,172.2,12.05,0,0,8,0,0,0,27
Wed Mar 08 2023,SPXW230308C04155000,0.05,0.025,0,0,14,0,0,0,2619,4155.00,SPXW230308P04155000,163.08,-1.67,0,0,13,0,0,0,13
Wed Mar 08 2023,SPXW230308C04160000,0.05,0.025,0,0,19,0,0,0,815,4160.00,SPXW230308P04160000,171.3,1.55,0,0,2,0,0,0,51
Wed Mar 08 2023,SPXW230308C04165000,0.05,0.025,0,0,1,0,0,0,600,4165.00,SPXW230308P04165000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04170000,0.05,0.025,0,0,15,0,0,0,972,4170.00,SPXW230308P04170000,0,0,0,0,0,0,0,0,6
Wed Mar 08 2023,SPXW230308C04175000,0.05,0.025,0,0,41,0,0,0,1284,4175.00,SPXW230308P04175000,200,15.25,0,0,1,0,0,0,10
Wed Mar 08 2023,SPXW230308C04180000,0.05,0.025,0,0,1,0,0,0,1240,4180.00,SPXW230308P04180000,198.96,0,0,0,0,0,0,0,16
Wed Mar 08 2023,SPXW230308C04185000,0.05,0.025,0,0,41,0,0,0,360,4185.00,SPXW230308P04185000,125.25,0,0,0,0,0,0,0,11
Wed Mar 08 2023,SPXW230308C04190000,0.05,0.025,0,0,7,0,0,0,735,4190.00,SPXW230308P04190000,197.12,-2.63,0,0,4,0,0,0,34
Wed Mar 08 2023,SPXW230308C04195000,0.05,0,0,0,0,0,0,0,398,4195.00,SPXW230308P04195000,205.01,0.26,0,0,3,0,0,0,13
Wed Mar 08 2023,SPXW230308C04200000,0.05,0.025,0,0,2,0,0,0,633,4200.00,SPXW230308P04200000,223.9,14.15,0,0,4,0,0,0,42
Wed Mar 08 2023,SPXW230308C04205000,0.05,0,0,0,0,0,0,0,210,4205.00,SPXW230308P04205000,227.81,13.06,0,0,1,0,0,0,1
Wed Mar 08 2023,SPXW230308C04210000,0.05,0,0,0,0,0,0,0,845,4210.00,SPXW230308P04210000,233.9,14.15,0,0,1,0,0,0,40
Wed Mar 08 2023,SPXW230308C04215000,0.07,0,0,0,0,0,0,0,231,4215.00,SPXW230308P04215000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04220000,0.07,0,0,0,0,0,0,0,110,4220.00,SPXW230308P04220000,232.67,2.92,0,0,1,0,0,0,1
Wed Mar 08 2023,SPXW230308C04225000,0.1,0,0,0,0,0,0,0,1444,4225.00,SPXW230308P04225000,135.3,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04230000,0.2,0,0,0,0,0,0,0,74,4230.00,SPXW230308P04230000,256.13,16.38,0,0,2,0,0,0,2
Wed Mar 08 2023,SPXW230308C04240000,0.1,0,0,0,0,0,0,0,776,4240.00,SPXW230308P04240000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04250000,0.05,0.025,0,0,1,0,0,0,403,4250.00,SPXW230308P04250000,272.9,13.15,0,0,4,0,0,0,0
Wed Mar 08 2023,SPXW230308C04260000,0.05,0,0,0,0,0,0,0,162,4260.00,SPXW230308P04260000,277.95,8.2,0,0,10,0,0,0,10
Wed Mar 08 2023,SPXW230308C04270000,0.05,0,0,0,0,0,0,0,76,4270.00,SPXW230308P04270000,281.37,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04275000,0.05,0,0,0,0,0,0,0,59,4275.00,SPXW230308P04275000,296.15,11.4,0,0,7,0,0,0,6
Wed Mar 08 2023,SPXW230308C04300000,0.05,0,0,0,0,0,0,0,5263,4300.00,SPXW230308P04300000,317.2,7.5,0,0,1,0,0,0,2
Wed Mar 08 2023,SPXW230308C04350000,0.05,0,0,0,0,0,0,0,847,4350.00,SPXW230308P04350000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04400000,0.05,0,0,0,0,0,0,0,192,4400.00,SPXW230308P04400000,0,0,0,0,0,0,0,0,0
Wed Mar 08 2023,SPXW230308C04500000,0.03,0.005,0,0,1,0,0,0,386,4500.00,SPXW230308P04500000,517.97,8.32,0,0,10,0,0,0,10
Wed Mar 08 2023,SPXW230308C04600000,0.05,0,0,0,0,0,0,0,42,4600.00,SPXW230308P04600000,0,0,0,0,0,0,0,0,7
Wed Mar 08 2023,SPXW230308C04700000,0,0,0,0,0,0,0,0,0,4700.00,SPXW230308P04700000,0,0,0,0,0,0,0,0,0
