
Standard & Poors 500 Index,Last: 3861.5901,Change:  -56.7299
"Date: March 11, 2023 at 8:27 PM EST",Bid: 3817.6899,Ask: 3936.1499,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Mar 13 2023,SPXW230313C01000000,2859.82,-65.4799,2855.6,2864,2,5.5098,0.9999,0,0,1000.00,SPXW230313P01000000,0,0,0,0.05,0,4.1943,0,0,0
Mon Mar 13 2023,SPXW230313C01200000,2659.78,-65.3201,2655.8,2663.8,1,4.7471,0.9999,0,0,1200.00,SPXW230313P01200000,0,0,0,0.05,0,3.6397,0,0,0
Mon Mar 13 2023,SPXW230313C01400000,0,0,2455,2464,0,4.106,0.9999,0,0,1400.00,SPXW230313P01400000,0,0,0,0.05,0,3.1722,0,0,0
Mon Mar 13 2023,SPXW230313C01600000,0,0,2255.7,2263.9,0,3.5795,0.9999,0,0,1600.00,SPXW230313P01600000,0,0,0,0.05,0,2.7675,0,0,0
Mon Mar 13 2023,SPXW230313C01800000,0,0,2055.7,2064,0,3.0922,0.9999,0,0,1800.00,SPXW230313P01800000,0.07,0,0,0.05,0,2.4104,0,0,2
Mon Mar 13 2023,SPXW230313C02000000,0,0,1855.9,1864,0,2.6806,0.9999,0,0,2000.00,SPXW230313P02000000,0.1,0,0,0.05,0,2.0906,0,0,48
Mon Mar 13 2023,SPXW230313C02200000,0,0,1655.9,1664,0,2.2872,0.9999,0,0,2200.00,SPXW230313P02200000,0.05,0,0,0.05,0,1.8006,-0.0001,0,2
Mon Mar 13 2023,SPXW230313C02400000,0,0,1455.8,1464.2,0,1.9286,0.9999,0,0,2400.00,SPXW230313P02400000,0.05,0,0,0.05,0,1.5348,-0.0001,0,158
Mon Mar 13 2023,SPXW230313C02600000,0,0,1255.8,1264.1,0,1.619,0.9998,0,0,2600.00,SPXW230313P02600000,0.05,0,0,0.05,0,1.2892,-0.0001,0,135
Mon Mar 13 2023,SPXW230313C02800000,0,0,1055.2,1064.2,0,1.3137,0.9997,0,0,2800.00,SPXW230313P02800000,0.05,0.025,0,0.05,226,1.0602,-0.0002,0,298
Mon Mar 13 2023,SPXW230313C03000000,0,0,855.9,864.1,0,1.0296,0.9995,0,0,3000.00,SPXW230313P03000000,0.05,-0.025,0,0.05,6238,0.8451,-0.0004,0,3549
Mon Mar 13 2023,SPXW230313C03100000,0,0,755.8,764.2,0,0.8502,0.9993,0,0,3100.00,SPXW230313P03100000,0.05,-0.05,0,0.05,12500,0.742,-0.0006,0,554
Mon Mar 13 2023,SPXW230313C03200000,682.76,-43.74,658.3,661.8,25,0.7173,0.999,0,0,3200.00,SPXW230313P03200000,0.05,-0.1,0.05,0.1,9268,0.6415,-0.0009,0,1106
Mon Mar 13 2023,SPXW230313C03250000,0,0,608.4,611.8,0,0.6795,0.9988,0,0,3250.00,SPXW230313P03250000,0.1,-0.075,0.05,0.1,7986,0.6456,-0.0011,0,3108
Mon Mar 13 2023,SPXW230313C03300000,790.76,0,558.4,561.8,0,0.6162,0.9986,0,0,3300.00,SPXW230313P03300000,0.07,-0.155,0.05,0.1,7503,0.5929,-0.0014,0,11148
