
Standard & Poors 500 Index,Last: 3971.27,Change:  -6.26
"Date: March 28, 2023 at 9:24 PM EDT",Bid: 3953.8999,Ask: 3990.8701,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Mar 28 2023,SPXW230328C01000000,2980.57,0,0,0,0,0,0,0,6,1000.00,SPXW230328P01000000,0.05,0.025,0,0,1,0,0,0,5
Tue Mar 28 2023,SPXW230328C01200000,2786.17,0,0,0,0,0,0,0,4,1200.00,SPXW230328P01200000,0.03,0,0,0,0,0,0,0,4
Tue Mar 28 2023,SPXW230328C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230328P01400000,0,0,0,0,0,0,0,0,0
Tue Mar 28 2023,SPXW230328C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230328P01600000,0,0,0,0,0,0,0,0,0
Tue Mar 28 2023,SPXW230328C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230328P01800000,0,0,0,0,0,0,0,0,0
Tue Mar 28 2023,SPXW230328C02000000,1974.96,0,0,0,0,0,0,0,2,2000.00,SPXW230328P02000000,0.03,0,0,0,0,0,0,0,28
Tue Mar 28 2023,SPXW230328C02200000,0,0,0,0,0,0,0,0,0,2200.00,SPXW230328P02200000,0.05,0,0,0,0,0,0,0,117
Tue Mar 28 2023,SPXW230328C02400000,0,0,0,0,0,0,0,0,5,2400.00,SPXW230328P02400000,0.05,0,0,0,0,0,0,0,69
Tue Mar 28 2023,SPXW230328C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230328P02600000,0.05,0,0,0,0,0,0,0,23
Tue Mar 28 2023,SPXW230328C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230328P02800000,0.05,0,0,0,0,0,0,0,49
Tue Mar 28 2023,SPXW230328C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW230328P02900000,0.05,0,0,0,0,0,0,0,125
Tue Mar 28 2023,SPXW230328C03000000,1000.31,0,0,0,0,0,0,0,10,3000.00,SPXW230328P03000000,0.05,0,0,0,0,0,0,0,1553
Tue Mar 28 2023,SPXW230328C03100000,870.73,0,0,0,0,0,0,0,0,3100.00,SPXW230328P03100000,0.05,0,0,0,0,0,0,0,830
Tue Mar 28 2023,SPXW230328C03150000,0,0,0,0,0,0,0,0,0,3150.00,SPXW230328P03150000,0.05,0,0,0,0,0,0,0,327
Tue Mar 28 2023,SPXW230328C03200000,0,0,0,0,0,0,0,0,0,3200.00,SPXW230328P03200000,0.05,0,0,0,0,0,0,0,1219
Tue Mar 28 2023,SPXW230328C03250000,0,0,0,0,0,0,0,0,0,3250.00,SPXW230328P03250000,0.05,0,0,0,0,0,0,0,13838
Tue Mar 28 2023,SPXW230328C03300000,0,0,0,0,0,0,0,0,0,3300.00,SPXW230328P03300000,0.05,0,0,0,0,0,0,0,9229
Tue Mar 28 2023,SPXW230328C03350000,0,0,0,0,0,0,0,0,0,3350.00,SPXW230328P03350000,0.05,0,0,0,0,0,0,0,247
Tue Mar 28 2023,SPXW230328C03400000,545.25,0,0,0,0,0,0,0,1,3400.00,SPXW230328P03400000,0.05,0,0,0,0,0,0,0,2308
Tue Mar 28 2023,SPXW230328C03425000,0,0,0,0,0,0,0,0,0,3425.00,SPXW230328P03425000,0.05,0,0,0,0,0,0,0,166
Tue Mar 28 2023,SPXW230328C03450000,517.73,-18.37,0,0,4,0,0,0,4,3450.00,SPXW230328P03450000,0.05,0,0,0,0,0,0,0,1852
Tue Mar 28 2023,SPXW230328C03475000,0,0,0,0,0,0,0,0,0,3475.00,SPXW230328P03475000,0.05,0,0,0,0,0,0,0,650
Tue Mar 28 2023,SPXW230328C03500000,464.9,-21.25,0,0,1,0,0,0,3,3500.00,SPXW230328P03500000,0.05,0,0,0,0,0,0,0,1414
Tue Mar 28 2023,SPXW230328C03525000,0,0,0,0,0,0,0,0,0,3525.00,SPXW230328P03525000,0.05,0,0,0,0,0,0,0,437
Tue Mar 28 2023,SPXW230328C03550000,0,0,0,0,0,0,0,0,0,3550.00,SPXW230328P03550000,0.05,0,0,0,0,0,0,0,731
Tue Mar 28 2023,SPXW230328C03575000,0,0,0,0,0,0,0,0,0,3575.00,SPXW230328P03575000,0.05,0,0,0,0,0,0,0,5442
Tue Mar 28 2023,SPXW230328C03600000,399.73,0,0,0,0,0,0,0,1,3600.00,SPXW230328P03600000,0.05,0,0,0,0,0,0,0,2286
Tue Mar 28 2023,SPXW230328C03620000,0,0,0,0,0,0,0,0,0,3620.00,SPXW230328P03620000,0.05,0.025,0,0,4,0,0,0,833
Tue Mar 28 2023,SPXW230328C03625000,375.97,0,0,0,0,0,0,0,10,3625.00,SPXW230328P03625000,0.05,0,0,0,0,0,0,0,1180
Tue Mar 28 2023,SPXW230328C03630000,0,0,0,0,0,0,0,0,0,3630.00,SPXW230328P03630000,0.05,0,0,0,0,0,0,0,310
Tue Mar 28 2023,SPXW230328C03640000,316.6,-29.6,0,0,85,0,0,0,85,3640.00,SPXW230328P03640000,0.05,0,0,0,0,0,0,0,491
Tue Mar 28 2023,SPXW230328C03650000,317.8,-18.4,0,0,3,0,0,0,3,3650.00,SPXW230328P03650000,0.05,0,0,0,3,0,0,0,4780
Tue Mar 28 2023,SPXW230328C03660000,312.55,-13.65,0,0,20,0,0,0,27,3660.00,SPXW230328P03660000,0.05,0,0,0,0,0,0,0,510
Tue Mar 28 2023,SPXW230328C03670000,293.05,-23.15,0,0,34,0,0,0,34,3670.00,SPXW230328P03670000,0.05,0,0,0,2,0,0,0,251
Tue Mar 28 2023,SPXW230328C03675000,263.91,0,0,0,0,0,0,0,0,3675.00,SPXW230328P03675000,0.07,0,0,0,0,0,0,0,1386
Tue Mar 28 2023,SPXW230328C03680000,292.49,-13.71,0,0,20,0,0,0,20,3680.00,SPXW230328P03680000,0.05,0,0,0,0,0,0,0,137
Tue Mar 28 2023,SPXW230328C03690000,272.93,-23.27,0,0,34,0,0,0,45,3690.00,SPXW230328P03690000,0.07,0,0,0,0,0,0,0,129
Tue Mar 28 2023,SPXW230328C03695000,269.9,-21.3,0,0,1,0,0,0,34,3695.00,SPXW230328P03695000,0.05,0,0,0,20,0,0,0,96
Tue Mar 28 2023,SPXW230328C03700000,266.01,-20.19,0,0,6,0,0,0,17,3700.00,SPXW230328P03700000,0.05,-0.025,0,0,1,0,0,0,1220
Tue Mar 28 2023,SPXW230328C03705000,0,0,0,0,0,0,0,0,0,3705.00,SPXW230328P03705000,0.07,0,0,0,0,0,0,0,147
Tue Mar 28 2023,SPXW230328C03710000,253.29,-22.91,0,0,6,0,0,0,5,3710.00,SPXW230328P03710000,0.05,0,0,0,3,0,0,0,142
Tue Mar 28 2023,SPXW230328C03715000,0,0,0,0,0,0,0,0,0,3715.00,SPXW230328P03715000,0.35,0,0,0,0,0,0,0,257
Tue Mar 28 2023,SPXW230328C03720000,0,0,0,0,0,0,0,0,0,3720.00,SPXW230328P03720000,0.05,0,0,0,1,0,0,0,1042
Tue Mar 28 2023,SPXW230328C03725000,240.04,-21.16,0,0,8,0,0,0,17,3725.00,SPXW230328P03725000,0.05,-0.025,0,0,30,0,0,0,328
