
Standard & Poors 500 Index,Last: 4027.8101,Change:  56.5401
"Date: March 29, 2023 at 9:20 PM EDT",Bid: 3997.3601,Ask: 4048.0801,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 29 2023,SPXW230329C01000000,0,0,0,0,0,0,0,0,0,1000.00,SPXW230329P01000000,0,0,0,0,0,0,0,0,1
Wed Mar 29 2023,SPXW230329C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPXW230329P01200000,0,0,0,0,0,0,0,0,0
Wed Mar 29 2023,SPXW230329C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230329P01400000,0,0,0,0,0,0,0,0,0
Wed Mar 29 2023,SPXW230329C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230329P01600000,0,0,0,0,0,0,0,0,0
Wed Mar 29 2023,SPXW230329C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230329P01800000,0,0,0,0,0,0,0,0,0
Wed Mar 29 2023,SPXW230329C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230329P02000000,0.05,0,0,0,0,0,0,0,1
Wed Mar 29 2023,SPXW230329C02200000,0,0,0,0,0,0,0,0,0,2200.00,SPXW230329P02200000,0.05,0,0,0,0,0,0,0,7
Wed Mar 29 2023,SPXW230329C02400000,1563.86,0,0,0,0,0,0,0,1,2400.00,SPXW230329P02400000,0.05,0,0,0,0,0,0,0,14
Wed Mar 29 2023,SPXW230329C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230329P02600000,0.05,0,0,0,0,0,0,0,79
Wed Mar 29 2023,SPXW230329C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230329P02800000,0.05,0,0,0,0,0,0,0,257
Wed Mar 29 2023,SPXW230329C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW230329P02900000,0.05,0,0,0,0,0,0,0,298
Wed Mar 29 2023,SPXW230329C03000000,0,0,0,0,0,0,0,0,0,3000.00,SPXW230329P03000000,0.05,0,0,0,0,0,0,0,1241
Wed Mar 29 2023,SPXW230329C03100000,842.95,0,0,0,0,0,0,0,1,3100.00,SPXW230329P03100000,0.05,0,0,0,0,0,0,0,289
Wed Mar 29 2023,SPXW230329C03150000,0,0,0,0,0,0,0,0,0,3150.00,SPXW230329P03150000,0.1,0,0,0,0,0,0,0,188
Wed Mar 29 2023,SPXW230329C03200000,0,0,0,0,0,0,0,0,0,3200.00,SPXW230329P03200000,0.1,0,0,0,0,0,0,0,609
Wed Mar 29 2023,SPXW230329C03250000,0,0,0,0,0,0,0,0,0,3250.00,SPXW230329P03250000,0.05,0,0,0,0,0,0,0,20561
Wed Mar 29 2023,SPXW230329C03300000,0,0,0,0,0,0,0,0,11,3300.00,SPXW230329P03300000,0.05,0,0,0,0,0,0,0,10636
Wed Mar 29 2023,SPXW230329C03350000,642.92,0,0,0,0,0,0,0,0,3350.00,SPXW230329P03350000,0.05,0,0,0,0,0,0,0,5608
Wed Mar 29 2023,SPXW230329C03400000,532.47,0,0,0,0,0,0,0,71,3400.00,SPXW230329P03400000,0.05,0,0,0,0,0,0,0,5123
Wed Mar 29 2023,SPXW230329C03450000,560.59,45.94,0,0,4,0,0,0,4,3450.00,SPXW230329P03450000,0.05,0,0,0,0,0,0,0,8856
Wed Mar 29 2023,SPXW230329C03500000,475.3,0,0,0,0,0,0,0,2,3500.00,SPXW230329P03500000,0.05,0.025,0,0,4,0,0,0,2056
Wed Mar 29 2023,SPXW230329C03550000,0,0,0,0,0,0,0,0,0,3550.00,SPXW230329P03550000,0.05,0,0,0,0,0,0,0,9255
Wed Mar 29 2023,SPXW230329C03575000,0,0,0,0,0,0,0,0,0,3575.00,SPXW230329P03575000,0.05,0,0,0,0,0,0,0,13896
Wed Mar 29 2023,SPXW230329C03600000,301.21,0,0,0,0,0,0,0,0,3600.00,SPXW230329P03600000,0.05,-0.025,0,0,2,0,0,0,3547
Wed Mar 29 2023,SPXW230329C03620000,0,0,0,0,0,0,0,0,0,3620.00,SPXW230329P03620000,0.1,0,0,0,0,0,0,0,209
Wed Mar 29 2023,SPXW230329C03625000,0,0,0,0,0,0,0,0,1,3625.00,SPXW230329P03625000,0.07,0,0,0,0,0,0,0,962
Wed Mar 29 2023,SPXW230329C03630000,0,0,0,0,0,0,0,0,0,3630.00,SPXW230329P03630000,0.05,0,0,0,2,0,0,0,998
Wed Mar 29 2023,SPXW230329C03640000,390.02,65.22,0,0,166,0,0,0,85,3640.00,SPXW230329P03640000,0.07,0,0,0,0,0,0,0,1197
Wed Mar 29 2023,SPXW230329C03650000,257.26,0,0,0,0,0,0,0,1,3650.00,SPXW230329P03650000,0.05,-0.025,0,0,1,0,0,0,5548
Wed Mar 29 2023,SPXW230329C03660000,351.52,46.67,0,0,30,0,0,0,30,3660.00,SPXW230329P03660000,0.17,0,0,0,0,0,0,0,283
Wed Mar 29 2023,SPXW230329C03670000,0,0,0,0,0,0,0,0,0,3670.00,SPXW230329P03670000,0.15,0,0,0,0,0,0,0,1108
Wed Mar 29 2023,SPXW230329C03675000,0,0,0,0,0,0,0,0,0,3675.00,SPXW230329P03675000,0.05,-0.025,0,0,1,0,0,0,1738
Wed Mar 29 2023,SPXW230329C03680000,331.48,46.68,0,0,30,0,0,0,30,3680.00,SPXW230329P03680000,0.1,0,0,0,0,0,0,0,223
Wed Mar 29 2023,SPXW230329C03690000,0,0,0,0,0,0,0,0,0,3690.00,SPXW230329P03690000,0.1,0,0,0,0,0,0,0,1449
Wed Mar 29 2023,SPXW230329C03695000,0,0,0,0,0,0,0,0,0,3695.00,SPXW230329P03695000,0.07,0,0,0,0,0,0,0,294
Wed Mar 29 2023,SPXW230329C03700000,316.27,51.47,0,0,5,0,0,0,5,3700.00,SPXW230329P03700000,0.05,-0.025,0,0,261,0,0,0,4007
Wed Mar 29 2023,SPXW230329C03705000,0,0,0,0,0,0,0,0,0,3705.00,SPXW230329P03705000,0.05,-0.025,0,0,439,0,0,0,1307
Wed Mar 29 2023,SPXW230329C03710000,308.22,53.42,0,0,6,0,0,0,6,3710.00,SPXW230329P03710000,0.05,-0.025,0,0,212,0,0,0,405
Wed Mar 29 2023,SPXW230329C03715000,0,0,0,0,0,0,0,0,0,3715.00,SPXW230329P03715000,0.07,0,0,0,0,0,0,0,4692
Wed Mar 29 2023,SPXW230329C03720000,0,0,0,0,0,0,0,0,0,3720.00,SPXW230329P03720000,0.05,-0.025,0,0,6,0,0,0,690
Wed Mar 29 2023,SPXW230329C03725000,296.43,56.68,0,0,8,0,0,0,19,3725.00,SPXW230329P03725000,0.05,-0.025,0,0,217,0,0,0,552
Wed Mar 29 2023,SPXW230329C03730000,282.69,47.94,0,0,10,0,0,0,10,3730.00,SPXW230329P03730000,0.05,-0.025,0,0,2,0,0,0,516
Wed Mar 29 2023,SPXW230329C03735000,259.63,0,0,0,0,0,0,0,0,3735.00,SPXW230329P03735000,0.1,0,0,0,0,0,0,0,334
Wed Mar 29 2023,SPXW230329C03740000,261.02,0,0,0,0,0,0,0,0,3740.00,SPXW230329P03740000,0.07,0,0,0,0,0,0,0,390
Wed Mar 29 2023,SPXW230329C03745000,0,0,0,0,0,0,0,0,0,3745.00,SPXW230329P03745000,0.1,0,0,0,0,0,0,0,603
Wed Mar 29 2023,SPXW230329C03750000,263.93,49.08,0,0,14,0,0,0,29,3750.00,SPXW230329P03750000,0.05,-0.025,0,0,23,0,0,0,2266
Wed Mar 29 2023,SPXW230329C03755000,254.97,45.12,0,0,2,0,0,0,3,3755.00,SPXW230329P03755000,0.05,-0.05,0,0,6,0,0,0,294
Wed Mar 29 2023,SPXW230329C03760000,265.64,60.79,0,0,20,0,0,0,20,3760.00,SPXW230329P03760000,0.05,-0.05,0,0,2,0,0,0,648
Wed Mar 29 2023,SPXW230329C03765000,242.6,42.75,0,0,1,0,0,0,2,3765.00,SPXW230329P03765000,0.05,-0.05,0,0,1,0,0,0,295
