
Standard & Poors 500 Index,Last: 4100.6001,Change:  -23.9099
"Date: April 4, 2023 at 9:04 PM EDT",Bid: 4067.1499,Ask: 4134.23,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 04 2023,SPXW230404C01000000,3104.56,-19.39,0,0,8,0,0,0,0,1000.00,SPXW230404P01000000,0,0,0,0,0,0,0,0,0
Tue Apr 04 2023,SPXW230404C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPXW230404P01200000,0,0,0,0,0,0,0,0,0
Tue Apr 04 2023,SPXW230404C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230404P01400000,0,0,0,0,0,0,0,0,0
Tue Apr 04 2023,SPXW230404C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230404P01600000,0,0,0,0,0,0,0,0,0
Tue Apr 04 2023,SPXW230404C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230404P01800000,0,0,0,0,0,0,0,0,0
Tue Apr 04 2023,SPXW230404C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230404P02000000,0.05,0,0,0,0,0,0,0,25
Tue Apr 04 2023,SPXW230404C02200000,0,0,0,0,0,0,0,0,0,2200.00,SPXW230404P02200000,0.05,0,0,0,0,0,0,0,17
Tue Apr 04 2023,SPXW230404C02400000,0,0,0,0,0,0,0,0,0,2400.00,SPXW230404P02400000,0.05,0,0,0,0,0,0,0,171
Tue Apr 04 2023,SPXW230404C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230404P02600000,0.05,0,0,0,0,0,0,0,81
Tue Apr 04 2023,SPXW230404C02800000,1130,0,0,0,0,0,0,0,0,2800.00,SPXW230404P02800000,0.05,0,0,0,0,0,0,0,102
Tue Apr 04 2023,SPXW230404C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW230404P02900000,0.05,0,0,0,0,0,0,0,145
Tue Apr 04 2023,SPXW230404C03000000,934.31,0,0,0,0,0,0,0,3,3000.00,SPXW230404P03000000,0.05,0,0,0,0,0,0,0,244
Tue Apr 04 2023,SPXW230404C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230404P03100000,0.05,0,0,0,0,0,0,0,470
Tue Apr 04 2023,SPXW230404C03150000,0,0,0,0,0,0,0,0,0,3150.00,SPXW230404P03150000,0.05,0,0,0,0,0,0,0,280
Tue Apr 04 2023,SPXW230404C03200000,902.38,-21.82,0,0,5,0,0,0,5,3200.00,SPXW230404P03200000,0.05,0,0,0,0,0,0,0,1561
Tue Apr 04 2023,SPXW230404C03250000,0,0,0,0,0,0,0,0,0,3250.00,SPXW230404P03250000,0.05,0,0,0,0,0,0,0,5755
Tue Apr 04 2023,SPXW230404C03300000,804.63,-19.62,0,0,5,0,0,0,5,3300.00,SPXW230404P03300000,0.05,0,0,0,0,0,0,0,5807
Tue Apr 04 2023,SPXW230404C03350000,547.1,0,0,0,0,0,0,0,2,3350.00,SPXW230404P03350000,0.02,-0.005,0,0,2,0,0,0,5772
Tue Apr 04 2023,SPXW230404C03375000,0,0,0,0,0,0,0,0,0,3375.00,SPXW230404P03375000,0.05,0,0,0,0,0,0,0,567
Tue Apr 04 2023,SPXW230404C03400000,473.07,0,0,0,0,0,0,0,166,3400.00,SPXW230404P03400000,0.02,-0.005,0,0,1,0,0,0,2012
