
Standard & Poors 500 Index,Last: 4146.2202,Change:  54.2702
"Date: April 13, 2023 at 9:15 PM EDT",Bid: 4111.1899,Ask: 4172.6201,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Apr 13 2023,SPXW230413C01000000,0,0,0,0,0,0,0,0,0,1000.00,SPXW230413P01000000,0,0,0,0,0,0,0,0,0
Thu Apr 13 2023,SPXW230413C01200000,0,0,0,0,0,0,0,0,0,1200.00,SPXW230413P01200000,0,0,0,0,0,0,0,0,0
Thu Apr 13 2023,SPXW230413C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230413P01400000,0.15,0,0,0,0,0,0,0,1
Thu Apr 13 2023,SPXW230413C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230413P01600000,0.05,0,0,0,0,0,0,0,3
Thu Apr 13 2023,SPXW230413C01800000,2114.84,0,0,0,0,0,0,0,4,1800.00,SPXW230413P01800000,0.1,0,0,0,0,0,0,0,4
Thu Apr 13 2023,SPXW230413C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230413P02000000,0,0,0,0,0,0,0,0,0
Thu Apr 13 2023,SPXW230413C02200000,1721.49,0,0,0,0,0,0,0,1,2200.00,SPXW230413P02200000,0.05,0,0,0,0,0,0,0,78
Thu Apr 13 2023,SPXW230413C02400000,0,0,0,0,0,0,0,0,5,2400.00,SPXW230413P02400000,0.05,0,0,0,0,0,0,0,133
Thu Apr 13 2023,SPXW230413C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230413P02600000,0.05,0,0,0,0,0,0,0,650
Thu Apr 13 2023,SPXW230413C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230413P02800000,0.05,0,0,0,0,0,0,0,88
Thu Apr 13 2023,SPXW230413C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW230413P02900000,0.05,0,0,0,0,0,0,0,75
Thu Apr 13 2023,SPXW230413C03000000,0,0,0,0,0,0,0,0,0,3000.00,SPXW230413P03000000,0.05,0,0,0,0,0,0,0,666
Thu Apr 13 2023,SPXW230413C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230413P03100000,0.05,0,0,0,0,0,0,0,759
Thu Apr 13 2023,SPXW230413C03150000,806.07,0,0,0,0,0,0,0,0,3150.00,SPXW230413P03150000,0.1,0,0,0,0,0,0,0,217
Thu Apr 13 2023,SPXW230413C03200000,947.18,52.73,0,0,5,0,0,0,46,3200.00,SPXW230413P03200000,0.05,0,0,0,0,0,0,0,315
Thu Apr 13 2023,SPXW230413C03250000,745.08,0,0,0,0,0,0,0,1,3250.00,SPXW230413P03250000,0.05,0,0,0,0,0,0,0,237
Thu Apr 13 2023,SPXW230413C03300000,0,0,0,0,0,0,0,0,0,3300.00,SPXW230413P03300000,0.05,0,0,0,0,0,0,0,382
