
Standard & Poors 500 Index,Last: 4138.1201,Change:  1.8701
"Date: May 8, 2023 at 9:17 PM EDT",Bid: 4122.3999,Ask: 4149.8901,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon May 08 2023,SPXW230508C01200000,0,0,2934,2942.3,0,0,0,0,0,1200.00,SPXW230508P01200000,0.05,0,0,0.05,0,0,0,0,1
Mon May 08 2023,SPXW230508C01400000,0,0,2734,2741.7,0,0,0,0,0,1400.00,SPXW230508P01400000,0,0,0,0.05,0,0,0,0,0
Mon May 08 2023,SPXW230508C01600000,0,0,2534,2542.3,0,0,0,0,0,1600.00,SPXW230508P01600000,0,0,0,0.05,0,0,0,0,0
Mon May 08 2023,SPXW230508C01800000,0,0,2324.5,2348,0,0,0,0,0,1800.00,SPXW230508P01800000,0,0,0,0.05,0,0,0,0,0
Mon May 08 2023,SPXW230508C02000000,2060.45,0,2134,2141.6,0,0,0,0,0,2000.00,SPXW230508P02000000,0.1,0,0,0.05,0,0,0,0,30
Mon May 08 2023,SPXW230508C02200000,0,0,1933.2,1941.7,0,0,0,0,0,2200.00,SPXW230508P02200000,0.05,0,0,0.05,0,0,0,0,3
Mon May 08 2023,SPXW230508C02400000,0,0,1734,1741.8,0,0,0,0,0,2400.00,SPXW230508P02400000,0.05,0,0,0.05,0,0,0,0,15
Mon May 08 2023,SPXW230508C02600000,0,0,1534,1541.6,0,0,0,0,0,2600.00,SPXW230508P02600000,0.05,0,0,0.05,0,0,0,0,121
Mon May 08 2023,SPXW230508C02800000,0,0,1334,1341.6,0,0,0,0,0,2800.00,SPXW230508P02800000,0.05,0,0,0.05,0,0,0,0,217
Mon May 08 2023,SPXW230508C03000000,0,0,1133.8,1141.5,0,0,0,0,0,3000.00,SPXW230508P03000000,0.05,0,0,0.05,0,0,0,0,246
Mon May 08 2023,SPXW230508C03100000,0,0,1034.1,1042.2,0,0,0,0,0,3100.00,SPXW230508P03100000,0.05,0,0,0.05,0,0,0,0,1209
Mon May 08 2023,SPXW230508C03200000,0,0,926.5,948,0,0,0,0,0,3200.00,SPXW230508P03200000,0.05,0,0,0.05,0,0,0,0,2214
Mon May 08 2023,SPXW230508C03250000,0,0,883.8,891.7,0,0,0,0,0,3250.00,SPXW230508P03250000,0.05,0,0,0.05,0,0,0,0,162
Mon May 08 2023,SPXW230508C03300000,832.77,-7.18,826.5,848,4,0,0,0,4,3300.00,SPXW230508P03300000,0.05,0,0,0.05,0,0,0,0,1053
Mon May 08 2023,SPXW230508C03350000,0,0,784.1,792.2,0,0,0,0,0,3350.00,SPXW230508P03350000,0.05,0,0,0.05,0,0,0,0,11063
Mon May 08 2023,SPXW230508C03400000,708.06,0,725.7,748,0,0,0,0,0,3400.00,SPXW230508P03400000,0.05,0,0,0.05,0,0,0,0,5018
Mon May 08 2023,SPXW230508C03450000,687.98,-2.02,676.5,698,3,0,0,0,3,3450.00,SPXW230508P03450000,0.05,0,0,0.05,0,0,0,0,1150
Mon May 08 2023,SPXW230508C03500000,595.42,0,626.5,648,0,0,0,0,2,3500.00,SPXW230508P03500000,0.05,0,0,0.05,0,0,0,0,7760
Mon May 08 2023,SPXW230508C03550000,0,0,576.5,598,0,0,0,0,0,3550.00,SPXW230508P03550000,0.05,0,0,0.05,0,0,0,0,13930
Mon May 08 2023,SPXW230508C03600000,528.06,0,526.5,548,0,0,0,0,1,3600.00,SPXW230508P03600000,0.05,0,0,0.05,0,0,0,0,5879
Mon May 08 2023,SPXW230508C03650000,0,0,475.8,498,0,0,0,0,0,3650.00,SPXW230508P03650000,0.05,0.025,0,0.05,206,0,0,0,5571
Mon May 08 2023,SPXW230508C03700000,436.01,-4.04,425.8,448,1,0,0,0,8,3700.00,SPXW230508P03700000,0.1,0,0,0.05,0,0,0,0,3456
Mon May 08 2023,SPXW230508C03725000,412.42,-2.68,408.8,416.7,9,0,0,0,9,3725.00,SPXW230508P03725000,0.1,0,0,0.05,0,0,0,0,4386
Mon May 08 2023,SPXW230508C03750000,319.13,0,375.8,398,0,0,0,0,7,3750.00,SPXW230508P03750000,0.05,-0.025,0,0.05,1,0,0,0,12645
Mon May 08 2023,SPXW230508C03775000,0,0,358.8,366.7,0,0,0,0,0,3775.00,SPXW230508P03775000,0.05,-0.05,0,0.05,10,0,0,0,5818
Mon May 08 2023,SPXW230508C03780000,0,0,353.2,361.7,0,0,0,0,0,3780.00,SPXW230508P03780000,0.15,0,0,0.05,0,0,0,0,169
Mon May 08 2023,SPXW230508C03790000,343.73,-6.42,344,351.7,22,0,0,0,22,3790.00,SPXW230508P03790000,0.15,0,0,0.05,0,0,0,0,463
Mon May 08 2023,SPXW230508C03800000,338.79,-1.36,333.1,341.6,20,0,0,0,21,3800.00,SPXW230508P03800000,0.05,-0.075,0,0.05,17,0,0,0,2030
Mon May 08 2023,SPXW230508C03810000,321.68,-8.47,315.8,338,1,0,0,0,1,3810.00,SPXW230508P03810000,0.05,-0.075,0,0.05,256,0,0,0,340
Mon May 08 2023,SPXW230508C03820000,312.17,-7.98,314.1,321.7,2,0,0,0,2,3820.00,SPXW230508P03820000,0.05,-0.05,0,0.05,1,0,0,0,403
Mon May 08 2023,SPXW230508C03825000,306.87,-8.28,308.5,316.7,10,0,0,0,10,3825.00,SPXW230508P03825000,0.15,0,0,0.05,0,0,0,0,3264
Mon May 08 2023,SPXW230508C03830000,0,0,296.5,318,0,0,0,0,0,3830.00,SPXW230508P03830000,0.05,-0.075,0,0.05,518,0,0,0,627
