
Standard & Poors 500 Index,Last: 4124.0801,Change:  -6.5399
"Date: May 12, 2023 at 9:13 PM EDT",Bid: 4105.27,Ask: 4134.6201,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 12 2023,SPXW230512C01000000,3117.81,-7.5899,3124,3128.4,1,0,0,0,13,1000.00,SPXW230512P01000000,0.03,0.005,0,0.05,1,0,0,0,76
Fri May 12 2023,SPXW230512C01200000,2922.11,-3.34,2924,2928.3,3,0,0,0,5,1200.00,SPXW230512P01200000,0.1,0,0,0.05,0,0,0,0,339
Fri May 12 2023,SPXW230512C01400000,0,0,2724,2728.4,0,0,0,0,1,1400.00,SPXW230512P01400000,0.05,0,0,0.05,0,0,0,0,172
Fri May 12 2023,SPXW230512C01600000,2523.45,0,2524,2528.3,0,0,0,0,13,1600.00,SPXW230512P01600000,0.03,0,0,0.05,0,0,0,0,382
Fri May 12 2023,SPXW230512C01800000,2326.4,0,2324,2328.4,0,0,0,0,16,1800.00,SPXW230512P01800000,0.05,0,0,0.05,0,0,0,0,329
Fri May 12 2023,SPXW230512C02000000,2141.91,16.16,2124,2128.3,1,0,0,0,1,2000.00,SPXW230512P02000000,0.05,0,0,0.05,0,0,0,0,465
Fri May 12 2023,SPXW230512C02200000,0,0,1924,1928.4,0,0,0,0,0,2200.00,SPXW230512P02200000,0.05,0,0,0.05,0,0,0,0,799
Fri May 12 2023,SPXW230512C02400000,0,0,1724,1728.3,0,0,0,0,0,2400.00,SPXW230512P02400000,0.05,0,0,0.05,0,0,0,0,838
Fri May 12 2023,SPXW230512C02600000,1458.53,0,1524,1528.3,0,0,0,0,0,2600.00,SPXW230512P02600000,0.05,0,0,0.05,0,0,0,0,3389
Fri May 12 2023,SPXW230512C02700000,1434.6,8.5,1424,1428.3,1,0,0,0,0,2700.00,SPXW230512P02700000,0.05,0,0,0.05,0,0,0,0,1113
Fri May 12 2023,SPXW230512C02800000,1326,0,1324,1328.4,0,0,0,0,8,2800.00,SPXW230512P02800000,0.05,0,0,0.05,0,0,0,0,963
Fri May 12 2023,SPXW230512C02900000,0,0,1224,1226.8,0,0,0,0,0,2900.00,SPXW230512P02900000,0.05,0.025,0,0.05,9,0,0,0,1012
Fri May 12 2023,SPXW230512C02950000,0,0,1174,1176.8,0,0,0,0,0,2950.00,SPXW230512P02950000,0.05,0.025,0,0.05,3,0,0,0,533
Fri May 12 2023,SPXW230512C03000000,1141.96,15.76,1124,1126.8,1,0,0,0,8,3000.00,SPXW230512P03000000,0.05,0,0,0.05,0,0,0,0,1432
Fri May 12 2023,SPXW230512C03050000,0,0,1074,1076.8,0,0,0,0,0,3050.00,SPXW230512P03050000,0.05,0,0,0.05,0,0,0,0,669
Fri May 12 2023,SPXW230512C03100000,0,0,1024,1026.8,0,0,0,0,0,3100.00,SPXW230512P03100000,0.05,0,0,0.05,0,0,0,0,3041
Fri May 12 2023,SPXW230512C03150000,0,0,974,976.8,0,0,0,0,0,3150.00,SPXW230512P03150000,0.05,0.025,0,0.05,6,0,0,0,15442
Fri May 12 2023,SPXW230512C03200000,910.73,-15.52,924,926.8,5,0,0,0,5,3200.00,SPXW230512P03200000,0.05,0,0,0.05,0,0,0,0,15819
Fri May 12 2023,SPXW230512C03250000,0,0,874,876.8,0,0,0,0,0,3250.00,SPXW230512P03250000,0.05,0,0,0.05,0,0,0,0,2987
Fri May 12 2023,SPXW230512C03300000,808.19,-18.16,824,826.8,4,0,0,0,7,3300.00,SPXW230512P03300000,0.05,0,0,0.05,0,0,0,0,6946
Fri May 12 2023,SPXW230512C03325000,0,0,799,801.8,0,0,0,0,0,3325.00,SPXW230512P03325000,0.05,0,0,0.05,0,0,0,0,367
Fri May 12 2023,SPXW230512C03350000,0,0,774,776.8,0,0,0,0,0,3350.00,SPXW230512P03350000,0.09,0,0,0.05,0,0,0,0,4555
Fri May 12 2023,SPXW230512C03375000,738.37,-13.03,749,751.8,4,0,0,0,4,3375.00,SPXW230512P03375000,0.1,0,0,0.05,0,0,0,0,550
Fri May 12 2023,SPXW230512C03400000,719.58,-6.82,724,726.8,1,0,0,0,3,3400.00,SPXW230512P03400000,0.05,0,0,0.05,0,0,0,0,7330
Fri May 12 2023,SPXW230512C03410000,0,0,714,716.8,0,0,0,0,0,3410.00,SPXW230512P03410000,0.15,0,0,0.05,0,0,0,0,294
Fri May 12 2023,SPXW230512C03420000,693.42,-12.93,704,706.8,2,0,0,0,2,3420.00,SPXW230512P03420000,0.1,0,0,0.05,0,0,0,0,407
Fri May 12 2023,SPXW230512C03425000,0,0,699,701.8,0,0,0,0,0,3425.00,SPXW230512P03425000,0.05,0,0,0.05,0,0,0,0,1456
Fri May 12 2023,SPXW230512C03430000,705.25,0,694,696.8,0,0,0,0,3,3430.00,SPXW230512P03430000,0.05,0,0,0.05,0,0,0,0,3381
Fri May 12 2023,SPXW230512C03440000,671.58,-14.82,684,686.8,3,0,0,0,4,3440.00,SPXW230512P03440000,0.05,0,0,0.05,0,0,0,0,530
Fri May 12 2023,SPXW230512C03450000,658.23,-18.17,674,676.8,3,0,0,0,3,3450.00,SPXW230512P03450000,0.05,0,0,0.05,0,0,0,0,12626
Fri May 12 2023,SPXW230512C03460000,0,0,664,666.8,0,0,0,0,0,3460.00,SPXW230512P03460000,0.05,0,0,0.05,0,0,0,0,3580
Fri May 12 2023,SPXW230512C03470000,641.53,-14.87,654,656.8,3,0,0,0,3,3470.00,SPXW230512P03470000,0.05,0,0,0.05,0,0,0,0,398
Fri May 12 2023,SPXW230512C03475000,658.43,0,649,651.8,0,0,0,0,3,3475.00,SPXW230512P03475000,0.05,0,0,0.05,0,0,0,0,1478
Fri May 12 2023,SPXW230512C03480000,0,0,644,646.8,0,0,0,0,0,3480.00,SPXW230512P03480000,0.05,0,0,0.05,0,0,0,0,434
Fri May 12 2023,SPXW230512C03490000,0,0,634,636.8,0,0,0,0,0,3490.00,SPXW230512P03490000,0.05,0,0,0.05,0,0,0,0,8634
Fri May 12 2023,SPXW230512C03500000,610.5,-15.95,624,626.8,1,0,0,0,4,3500.00,SPXW230512P03500000,0.05,0,0,0.05,0,0,0,0,4845
Fri May 12 2023,SPXW230512C03510000,0,0,614,616.8,0,0,0,0,0,3510.00,SPXW230512P03510000,0.12,0,0,0.05,0,0,0,0,304
Fri May 12 2023,SPXW230512C03520000,0,0,604,606.8,0,0,0,0,0,3520.00,SPXW230512P03520000,0.1,0,0,0.05,0,0,0,0,1385
Fri May 12 2023,SPXW230512C03525000,429.97,0,599,601.8,0,0,0,0,1,3525.00,SPXW230512P03525000,0.05,0,0,0.05,0,0,0,0,1151
Fri May 12 2023,SPXW230512C03530000,0,0,594,596.8,0,0,0,0,0,3530.00,SPXW230512P03530000,0.2,0,0,0.05,0,0,0,0,2358
Fri May 12 2023,SPXW230512C03540000,590.3,0,584,586.8,0,0,0,0,1,3540.00,SPXW230512P03540000,0.1,0,0,0.05,0,0,0,0,1306
Fri May 12 2023,SPXW230512C03550000,483.2,0,574,576.8,0,0,0,0,2,3550.00,SPXW230512P03550000,0.05,0.025,0,0.05,9,0,0,0,5227
Fri May 12 2023,SPXW230512C03560000,0,0,564,566.8,0,0,0,0,0,3560.00,SPXW230512P03560000,0.05,0,0,0.05,0,0,0,0,3399
Fri May 12 2023,SPXW230512C03570000,0,0,554,556.8,0,0,0,0,0,3570.00,SPXW230512P03570000,0.05,0,0,0.05,0,0,0,0,5067
Fri May 12 2023,SPXW230512C03575000,529.5,0,549,551.8,0,0,0,0,2,3575.00,SPXW230512P03575000,0.05,0,0,0.05,0,0,0,0,9255
Fri May 12 2023,SPXW230512C03580000,0,0,544,546.8,0,0,0,0,0,3580.00,SPXW230512P03580000,0.05,0,0,0.05,0,0,0,0,2288
Fri May 12 2023,SPXW230512C03590000,0,0,534,536.8,0,0,0,0,0,3590.00,SPXW230512P03590000,0.05,0,0,0.05,0,0,0,0,870
Fri May 12 2023,SPXW230512C03600000,527.35,0,524,526.8,0,0,0,0,5,3600.00,SPXW230512P03600000,0.05,0,0,0.05,0,0,0,0,17134
Fri May 12 2023,SPXW230512C03610000,0,0,514,516.8,0,0,0,0,0,3610.00,SPXW230512P03610000,0.05,0,0,0.05,0,0,0,0,530
Fri May 12 2023,SPXW230512C03620000,0,0,504,506.8,0,0,0,0,1,3620.00,SPXW230512P03620000,0.05,0,0,0.05,0,0,0,0,748
Fri May 12 2023,SPXW230512C03625000,514.87,0,499,501.8,0,0,0,0,1,3625.00,SPXW230512P03625000,0.05,0,0,0.05,0,0,0,0,4786
Fri May 12 2023,SPXW230512C03630000,0,0,494,496.8,0,0,0,0,0,3630.00,SPXW230512P03630000,0.05,0,0,0.05,0,0,0,0,2618
Fri May 12 2023,SPXW230512C03640000,498.57,12.07,484,486.8,87,0,0,0,87,3640.00,SPXW230512P03640000,0.05,0,0,0.05,2,0,0,0,554
Fri May 12 2023,SPXW230512C03650000,486.21,0,474,476.8,0,0,0,0,3,3650.00,SPXW230512P03650000,0.05,-0.025,0,0.05,100,0,0,0,19339
Fri May 12 2023,SPXW230512C03660000,344.84,0,464,466.8,0,0,0,0,12,3660.00,SPXW230512P03660000,0.05,0,0,0.05,0,0,0,0,2059
Fri May 12 2023,SPXW230512C03665000,0,0,459,461.8,0,0,0,0,0,3665.00,SPXW230512P03665000,0.05,0,0,0.05,0,0,0,0,602
Fri May 12 2023,SPXW230512C03670000,453.8,0,454,456.8,0,0,0,0,8,3670.00,SPXW230512P03670000,0.05,-0.025,0,0.05,2,0,0,0,3344
Fri May 12 2023,SPXW230512C03675000,442.3,0,449,451.8,0,0,0,0,4,3675.00,SPXW230512P03675000,0.05,0,0,0.05,0,0,0,0,4416
Fri May 12 2023,SPXW230512C03680000,279,0,444,446.8,0,0,0,0,3,3680.00,SPXW230512P03680000,0.05,0,0,0.05,0,0,0,0,458
Fri May 12 2023,SPXW230512C03685000,438.1,0,439,441.8,0,0,0,0,25,3685.00,SPXW230512P03685000,0.05,0,0,0.05,1,0,0,0,3400
Fri May 12 2023,SPXW230512C03690000,432.12,-4.43,434,436.8,2,0,0,0,2,3690.00,SPXW230512P03690000,0.07,0,0,0.05,0,0,0,0,729
Fri May 12 2023,SPXW230512C03695000,297.71,0,429,431.8,0,0,0,0,1,3695.00,SPXW230512P03695000,0.07,0,0,0.05,0,0,0,0,1049
Fri May 12 2023,SPXW230512C03700000,407.55,-19,424,426.8,1,0,0,0,10,3700.00,SPXW230512P03700000,0.07,0,0,0.05,0,0,0,0,6570
Fri May 12 2023,SPXW230512C03705000,447.71,0,419,421.8,0,0,0,0,1,3705.00,SPXW230512P03705000,0.07,0,0,0.05,0,0,0,0,555
Fri May 12 2023,SPXW230512C03710000,470.06,0,414,416.8,0,0,0,0,16,3710.00,SPXW230512P03710000,0.15,0,0,0.05,0,0,0,0,988
Fri May 12 2023,SPXW230512C03715000,421.2,0,409,411.8,0,0,0,0,3,3715.00,SPXW230512P03715000,0.07,0,0,0.05,0,0,0,0,615
Fri May 12 2023,SPXW230512C03720000,409.06,0,404,406.8,0,0,0,0,2,3720.00,SPXW230512P03720000,0.2,0,0,0.05,0,0,0,0,575
Fri May 12 2023,SPXW230512C03725000,378.81,-22.74,399,401.8,9,0,0,0,16,3725.00,SPXW230512P03725000,0.05,-0.025,0,0.05,4,0,0,0,1496
Fri May 12 2023,SPXW230512C03730000,408.44,11.89,394,396.8,3,0,0,0,3,3730.00,SPXW230512P03730000,0.15,0,0,0.05,0,0,0,0,679
Fri May 12 2023,SPXW230512C03735000,402.3,0,389,391.8,0,0,0,0,3,3735.00,SPXW230512P03735000,0.1,0,0,0.05,0,0,0,0,428
Fri May 12 2023,SPXW230512C03740000,382.92,0,384,386.8,0,0,0,0,1,3740.00,SPXW230512P03740000,0.15,0,0,0.05,0,0,0,0,584
Fri May 12 2023,SPXW230512C03745000,389,0,379,381.8,0,0,0,0,8,3745.00,SPXW230512P03745000,0.13,0,0,0.05,0,0,0,0,397
Fri May 12 2023,SPXW230512C03750000,377.59,0,374,376.8,0,0,0,0,3,3750.00,SPXW230512P03750000,0.05,-0.025,0,0.05,39,0,0,0,4378
Fri May 12 2023,SPXW230512C03755000,350.33,-21.27,369,371.8,2,0,0,0,2,3755.00,SPXW230512P03755000,0.1,0,0,0.05,0,0,0,0,458
Fri May 12 2023,SPXW230512C03760000,344.92,-21.68,364,366.8,16,0,0,0,19,3760.00,SPXW230512P03760000,0.05,-0.025,0,0.05,1,0,0,0,436
Fri May 12 2023,SPXW230512C03765000,247.82,0,359,361.8,0,0,0,0,1,3765.00,SPXW230512P03765000,0.07,0,0,0.05,0,0,0,0,933
Fri May 12 2023,SPXW230512C03770000,290.13,0,354,356.8,0,0,0,0,2,3770.00,SPXW230512P03770000,0.1,0,0,0.05,0,0,0,0,410
Fri May 12 2023,SPXW230512C03775000,347.29,-4.26,349,351.8,2,0,0,0,3,3775.00,SPXW230512P03775000,0.1,0,0,0.05,0,0,0,0,2595
Fri May 12 2023,SPXW230512C03780000,344.02,0,344,346.8,0,0,0,0,4,3780.00,SPXW230512P03780000,0.05,-0.025,0,0.05,1,0,0,0,2908
Fri May 12 2023,SPXW230512C03785000,362.88,0,339,341.8,0,0,0,0,7,3785.00,SPXW230512P03785000,0.05,-0.025,0,0.05,2,0,0,0,5018
Fri May 12 2023,SPXW230512C03790000,340.65,4.05,334,336.8,2,0,0,0,4,3790.00,SPXW230512P03790000,0.1,0,0,0.05,0,0,0,0,1201
Fri May 12 2023,SPXW230512C03795000,242.49,0,329,331.8,0,0,0,0,2,3795.00,SPXW230512P03795000,0.05,-0.05,0,0.05,155,0,0,0,682
Fri May 12 2023,SPXW230512C03800000,330.45,0,324,326.8,0,0,0,0,25,3800.00,SPXW230512P03800000,0.05,-0.025,0,0.05,10,0,0,0,4215
Fri May 12 2023,SPXW230512C03805000,316.28,-5.32,319,321.8,2,0,0,0,3,3805.00,SPXW230512P03805000,0.1,0,0,0.05,0,0,0,0,431
Fri May 12 2023,SPXW230512C03810000,292.99,-23.61,314,316.8,7,0,0,0,8,3810.00,SPXW230512P03810000,0.1,0,0,0.05,0,0,0,0,1760
Fri May 12 2023,SPXW230512C03815000,286.6,-25.05,309,311.8,5,0,0,0,5,3815.00,SPXW230512P03815000,0.1,0,0,0.05,0,0,0,0,1661
Fri May 12 2023,SPXW230512C03820000,297.05,-9.6,304,306.8,23,0,0,0,34,3820.00,SPXW230512P03820000,0.1,0,0,0.05,0,0,0,0,946
Fri May 12 2023,SPXW230512C03825000,277.71,-23.94,299,301.8,1,0,0,0,99,3825.00,SPXW230512P03825000,0.03,-0.095,0,0.05,182,0,0,0,3504
Fri May 12 2023,SPXW230512C03830000,280.7,-15.95,294,296.8,5,0,0,0,8,3830.00,SPXW230512P03830000,0.1,0,0,0.05,0,0,0,0,1066
Fri May 12 2023,SPXW230512C03835000,294.16,2.51,289,291.8,32,0,0,0,32,3835.00,SPXW230512P03835000,0.15,0,0,0.05,0,0,0,0,1439
Fri May 12 2023,SPXW230512C03840000,277.03,-9.62,284,286.8,23,0,0,0,24,3840.00,SPXW230512P03840000,0.15,0,0,0.05,0,0,0,0,516
Fri May 12 2023,SPXW230512C03845000,293.97,0,279,281.8,0,0,0,0,53,3845.00,SPXW230512P03845000,0.05,-0.075,0,0.05,4,0,0,0,1049
Fri May 12 2023,SPXW230512C03850000,289.15,0,274,276.8,0,0,0,0,65,3850.00,SPXW230512P03850000,0.05,-0.075,0,0.05,54,0,0,0,3452
Fri May 12 2023,SPXW230512C03855000,208.8,0,269,271.8,0,0,0,0,2,3855.00,SPXW230512P03855000,0.15,0,0,0.05,0,0,0,0,425
Fri May 12 2023,SPXW230512C03860000,247,-19.65,264,266.8,5,0,0,0,10,3860.00,SPXW230512P03860000,0.05,-0.075,0,0.05,1,0,0,0,690
Fri May 12 2023,SPXW230512C03865000,238.18,-23.52,259,261.8,2,0,0,0,8,3865.00,SPXW230512P03865000,0.05,-0.075,0,0.05,4,0,0,0,927
Fri May 12 2023,SPXW230512C03870000,233.59,-23.11,254,256.8,1,0,0,0,66,3870.00,SPXW230512P03870000,0.05,-0.075,0,0.05,4,0,0,0,963
Fri May 12 2023,SPXW230512C03875000,229.41,-22.29,249,251.8,8,0,0,0,76,3875.00,SPXW230512P03875000,0.05,-0.075,0,0.05,941,0,0,0,3546
Fri May 12 2023,SPXW230512C03880000,224.45,-22.25,244,246.8,1,0,0,0,46,3880.00,SPXW230512P03880000,0.05,-0.075,0,0.05,6,0,0,0,708
Fri May 12 2023,SPXW230512C03885000,238.72,0,239,241.8,0,0,0,0,9,3885.00,SPXW230512P03885000,0.15,0,0,0.05,0,0,0,0,1084
Fri May 12 2023,SPXW230512C03890000,279.1,0,234,236.8,0,0,0,0,232,3890.00,SPXW230512P03890000,0.05,-0.075,0,0.05,7,0,0,0,5768
Fri May 12 2023,SPXW230512C03895000,213.8,0,229,231.8,0,0,0,0,7,3895.00,SPXW230512P03895000,0.2,0,0,0.05,0,0,0,0,931
Fri May 12 2023,SPXW230512C03900000,209.49,-17.21,224,226.8,20,0,0,0,244,3900.00,SPXW230512P03900000,0.05,-0.075,0,0.05,98,0,0,0,24205
Fri May 12 2023,SPXW230512C03905000,154,0,219,221.8,0,0,0,0,34,3905.00,SPXW230512P03905000,0.05,-0.1,0,0.05,1,0,0,0,583
Fri May 12 2023,SPXW230512C03910000,213.04,-3.66,214,216.8,4,0,0,0,126,3910.00,SPXW230512P03910000,0.05,-0.1,0,0.05,4,0,0,0,4803
Fri May 12 2023,SPXW230512C03915000,215,0,209,211.8,0,0,0,0,31,3915.00,SPXW230512P03915000,0.05,-0.1,0,0.05,123,0,0,0,3476
Fri May 12 2023,SPXW230512C03920000,183.72,-23.03,204,206.8,5,0,0,0,122,3920.00,SPXW230512P03920000,0.05,-0.1,0,0.05,4,0,0,0,747
Fri May 12 2023,SPXW230512C03925000,195.3,0,199,203.3,0,0,0,0,27,3925.00,SPXW230512P03925000,0.05,-0.1,0,0.05,65,0,0,0,15435
