
Standard & Poors 500 Index,Last: 4136.2798,Change:  12.1998
"Date: May 15, 2023 at 9:17 PM EDT",Bid: 4115,Ask: 4152.0801,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon May 15 2023,SPXW230515C01200000,2928.58,11.2299,2921.9,2941,8,0,0,0,0,1200.00,SPXW230515P01200000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C01400000,0,0,2726.8,2742.2,0,0,0,0,0,1400.00,SPXW230515P01400000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C01600000,0,0,2521.9,2541,0,0,0,0,0,1600.00,SPXW230515P01600000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C01800000,0,0,2326.8,2342.2,0,0,0,0,0,1800.00,SPXW230515P01800000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C02000000,0,0,2126.8,2142.2,0,0,0,0,0,2000.00,SPXW230515P02000000,0.1,0,0,0.05,0,0,0,0,30
Mon May 15 2023,SPXW230515C02200000,0,0,1926.8,1942.5,0,0,0,0,0,2200.00,SPXW230515P02200000,0.07,0,0,0.05,0,0,0,0,248
Mon May 15 2023,SPXW230515C02400000,0,0,1726.5,1743.9,0,0,0,0,0,2400.00,SPXW230515P02400000,0.05,0,0,0.05,0,0,0,0,112
Mon May 15 2023,SPXW230515C02600000,0,0,1526.8,1546.4,0,0,0,0,0,2600.00,SPXW230515P02600000,0.05,0,0,0.05,0,0,0,0,202
Mon May 15 2023,SPXW230515C02800000,0,0,1326.8,1346.4,0,0,0,0,0,2800.00,SPXW230515P02800000,0.1,0,0,0.05,0,0,0,0,535
Mon May 15 2023,SPXW230515C03000000,0,0,1126,1139.6,0,0,0,0,0,3000.00,SPXW230515P03000000,0.05,0,0,0.05,0,0,0,0,303
Mon May 15 2023,SPXW230515C03100000,0,0,1025.7,1039.6,0,0,0,0,0,3100.00,SPXW230515P03100000,0.05,0,0,0.05,0,0,0,0,297
Mon May 15 2023,SPXW230515C03200000,936.37,18.72,932.7,939.6,5,0,0,0,5,3200.00,SPXW230515P03200000,0.05,0,0,0.05,0,0,0,0,1530
Mon May 15 2023,SPXW230515C03250000,890.14,22.49,875.7,889.6,1,0,0,0,1,3250.00,SPXW230515P03250000,0.05,0,0,0.05,0,0,0,0,561
Mon May 15 2023,SPXW230515C03300000,840.8,23.15,826,839.6,3,0,0,0,3,3300.00,SPXW230515P03300000,0.05,0,0,0.05,0,0,0,0,1536
Mon May 15 2023,SPXW230515C03350000,768.11,0,775.1,789.6,0,0,0,0,32,3350.00,SPXW230515P03350000,0.05,0,0,0.05,0,0,0,0,1836
Mon May 15 2023,SPXW230515C03400000,726.63,8.88,725.7,739.6,29,0,0,0,29,3400.00,SPXW230515P03400000,0.05,0,0,0.05,0,0,0,0,14246
Mon May 15 2023,SPXW230515C03450000,685.09,17.34,675.1,688.9,3,0,0,0,3,3450.00,SPXW230515P03450000,0.05,0,0,0.05,0,0,0,0,11183
Mon May 15 2023,SPXW230515C03500000,633.95,0,626,639.6,0,0,0,0,4,3500.00,SPXW230515P03500000,0.05,0.025,0,0.05,1,0,0,0,18405
Mon May 15 2023,SPXW230515C03550000,0,0,576,589.6,0,0,0,0,0,3550.00,SPXW230515P03550000,0.05,0,0,0.05,0,0,0,0,3813
Mon May 15 2023,SPXW230515C03600000,0,0,526,539.6,0,0,0,0,0,3600.00,SPXW230515P03600000,0.07,0,0,0.05,0,0,0,0,7864
Mon May 15 2023,SPXW230515C03650000,0,0,475.7,490,0,0,0,0,0,3650.00,SPXW230515P03650000,0.05,-0.025,0,0.05,12,0,0,0,10035
Mon May 15 2023,SPXW230515C03700000,432.17,14.32,426,439.6,1,0,0,0,1,3700.00,SPXW230515P03700000,0.05,-0.025,0,0.05,9,0,0,0,4573
Mon May 15 2023,SPXW230515C03725000,409.6,16.75,401,414.6,9,0,0,0,9,3725.00,SPXW230515P03725000,0.05,-0.025,0,0.05,21,0,0,0,7502
Mon May 15 2023,SPXW230515C03750000,413.36,0,375.1,389.6,0,0,0,0,0,3750.00,SPXW230515P03750000,0.05,-0.05,0,0.05,1109,0,0,0,6858
Mon May 15 2023,SPXW230515C03775000,0,0,350.9,364.6,0,0,0,0,0,3775.00,SPXW230515P03775000,0.05,-0.05,0,0.05,25,0,0,0,1569
Mon May 15 2023,SPXW230515C03780000,0,0,352.7,359.6,0,0,0,0,0,3780.00,SPXW230515P03780000,0.17,0,0,0.05,0,0,0,0,296
Mon May 15 2023,SPXW230515C03790000,346.81,18.96,336.1,349.6,2,0,0,0,2,3790.00,SPXW230515P03790000,0.17,0,0,0.05,0,0,0,0,317
Mon May 15 2023,SPXW230515C03800000,337.07,19.22,325.1,339.6,2,0,0,0,8,3800.00,SPXW230515P03800000,0.05,-0.075,0,0.05,10,0,0,0,6853
Mon May 15 2023,SPXW230515C03805000,0,0,321,334.6,0,0,0,0,0,3805.00,SPXW230515P03805000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C03810000,323.79,15.94,316,329.6,14,0,0,0,14,3810.00,SPXW230515P03810000,0.15,0,0,0.05,0,0,0,0,259
Mon May 15 2023,SPXW230515C03815000,0,0,311,324.6,0,0,0,0,0,3815.00,SPXW230515P03815000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C03820000,317.15,19.3,306,319,1,0,0,0,1,3820.00,SPXW230515P03820000,0.05,-0.075,0,0.05,5,0,0,0,378
Mon May 15 2023,SPXW230515C03825000,305.43,0,301,314.6,0,0,0,0,3,3825.00,SPXW230515P03825000,0.05,-0.075,0,0.05,21,0,0,0,3719
Mon May 15 2023,SPXW230515C03830000,306.29,18.44,296,309.6,9,0,0,0,8,3830.00,SPXW230515P03830000,0.12,0,0,0.05,0,0,0,0,913
Mon May 15 2023,SPXW230515C03835000,0,0,291,304.1,0,0,0,0,0,3835.00,SPXW230515P03835000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C03840000,284.11,0,285.7,299.6,0,0,0,0,49,3840.00,SPXW230515P03840000,0.05,-0.1,0,0.05,4,0,0,0,1216
Mon May 15 2023,SPXW230515C03845000,0,0,281,294.6,0,0,0,0,0,3845.00,SPXW230515P03845000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C03850000,285.83,17.98,282.8,289.6,4,0,0,0,4,3850.00,SPXW230515P03850000,0.05,-0.125,0,0.05,1,0,0,0,987
Mon May 15 2023,SPXW230515C03855000,0,0,271,284,0,0,0,0,0,3855.00,SPXW230515P03855000,0,0,0,0.05,0,0,0,0,0
Mon May 15 2023,SPXW230515C03860000,264.34,0,266,279.6,0,0,0,0,47,3860.00,SPXW230515P03860000,0.05,-0.125,0,0.05,5,0,0,0,2144
Mon May 15 2023,SPXW230515C03865000,271.37,18.52,260.7,274.6,2,0,0,0,2,3865.00,SPXW230515P03865000,0.15,0,0,0.05,0,0,0,0,1046
Mon May 15 2023,SPXW230515C03870000,253.92,0,256,269.6,0,0,0,0,1,3870.00,SPXW230515P03870000,0.2,0,0,0.05,0,0,0,0,672
Mon May 15 2023,SPXW230515C03875000,253.85,10.9,250.7,264.6,2,0,0,0,3,3875.00,SPXW230515P03875000,0.05,-0.1,0,0.05,908,0,0,0,1472
Mon May 15 2023,SPXW230515C03880000,253,15.05,246,259.1,1,0,0,0,21,3880.00,SPXW230515P03880000,0.05,-0.125,0,0.05,3,0,0,0,408
Mon May 15 2023,SPXW230515C03885000,0,0,247.8,254.6,0,0,0,0,0,3885.00,SPXW230515P03885000,0.05,-0.125,0,0.05,6,0,0,0,163
Mon May 15 2023,SPXW230515C03890000,241.38,0,242.8,249.6,0,0,0,0,124,3890.00,SPXW230515P03890000,0.05,-0.125,0,0.05,1,0,0,0,1298
Mon May 15 2023,SPXW230515C03895000,238.39,0,231,244.6,0,0,0,0,111,3895.00,SPXW230515P03895000,0.05,-0.125,0,0.05,18,0,0,0,480
Mon May 15 2023,SPXW230515C03900000,235.87,17.92,225.5,239.6,19,0,0,0,41,3900.00,SPXW230515P03900000,0.05,-0.125,0,0.05,8,0,0,0,4969
Mon May 15 2023,SPXW230515C03905000,228.73,0,221,233.9,0,0,0,0,2,3905.00,SPXW230515P03905000,0.05,-0.125,0,0.05,19,0,0,0,1380
Mon May 15 2023,SPXW230515C03910000,225.04,17.09,215.7,230,3,0,0,0,3,3910.00,SPXW230515P03910000,0.05,-0.125,0,0.05,3,0,0,0,528
Mon May 15 2023,SPXW230515C03915000,219.07,16.12,211,224.6,1,0,0,0,2,3915.00,SPXW230515P03915000,0.05,-0.125,0,0.05,8,0,0,0,1356
Mon May 15 2023,SPXW230515C03920000,214.95,17,206,219.6,4,0,0,0,4,3920.00,SPXW230515P03920000,0.05,-0.175,0,0.05,4,0,0,0,1508
Mon May 15 2023,SPXW230515C03925000,222,0,201.2,214.6,0,0,0,0,0,3925.00,SPXW230515P03925000,0.05,-0.15,0,0.05,5,0,0,0,6132
Mon May 15 2023,SPXW230515C03930000,211.8,0,196.2,209.6,0,0,0,0,8,3930.00,SPXW230515P03930000,0.05,-0.15,0,0.05,15,0,0,0,1023
Mon May 15 2023,SPXW230515C03935000,212.3,0,191.2,204.6,0,0,0,0,0,3935.00,SPXW230515P03935000,0.05,-0.15,0,0.05,6,0,0,0,1685
Mon May 15 2023,SPXW230515C03940000,135.92,0,190.7,199.6,0,0,0,0,1,3940.00,SPXW230515P03940000,0.05,-0.15,0,0.05,127,0,0,0,628
Mon May 15 2023,SPXW230515C03945000,0,0,185.7,194.6,0,0,0,0,0,3945.00,SPXW230515P03945000,0.05,-0.15,0,0.05,39,0,0,0,7053
Mon May 15 2023,SPXW230515C03950000,185.58,17.63,180.7,189.6,4,0,0,0,7,3950.00,SPXW230515P03950000,0.05,-0.175,0,0.05,33,0,0,0,1961
Mon May 15 2023,SPXW230515C03955000,181.79,18.84,171.2,184.6,7,0,0,0,5,3955.00,SPXW230515P03955000,0.05,-0.175,0,0.05,10,0,0,0,924
Mon May 15 2023,SPXW230515C03960000,177.04,19.04,172.3,179.6,1,0,0,0,2,3960.00,SPXW230515P03960000,0.05,-0.175,0,0.05,93,0,0,0,1573
