
Standard & Poors 500 Index,Last: 4282.3701,Change:  61.3501
"Date: June 4, 2023 at 9:37 PM EDT",Bid: 4243.9302,Ask: 4305.98,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPXW230605C01200000,0,0,3077.4,3079,0,0,1,0,0,1200.00,SPXW230605P01200000,0.05,0,0,0.05,0,7.6228,0,0,2
Mon Jun 05 2023,SPXW230605C01400000,2791.67,0,2877.4,2879,0,7.8808,1,0,8,1400.00,SPXW230605P01400000,0.05,0,0,0.05,0,6.7188,0,0,121
Mon Jun 05 2023,SPXW230605C01600000,0,0,2677.4,2679,0,6.9158,1,0,0,1600.00,SPXW230605P01600000,0,0,0,0.05,0,5.9365,0,0,0
Mon Jun 05 2023,SPXW230605C01800000,0,0,2477.4,2479,0,6.0666,0.9999,0,0,1800.00,SPXW230605P01800000,0,0,0,0.05,0,5.2474,-0.0001,0,0
Mon Jun 05 2023,SPXW230605C02000000,0,0,2277.4,2279,0,5.3082,0.9999,0,0,2000.00,SPXW230605P02000000,0.1,0,0,0.05,0,4.6307,-0.0001,0,45
Mon Jun 05 2023,SPXW230605C02200000,0,0,2077.4,2079,0,4.6227,0.9999,0,0,2200.00,SPXW230605P02200000,0.05,0,0,0.05,0,4.0722,-0.0001,0,384
Mon Jun 05 2023,SPXW230605C02400000,0,0,1877.4,1879,0,3.9969,0.9998,0,0,2400.00,SPXW230605P02400000,0.05,0,0,0.05,0,3.5612,-0.0002,0,341
Mon Jun 05 2023,SPXW230605C02600000,1682.6,66.9,1677.4,1679,1,3.4206,0.9998,0,1,2600.00,SPXW230605P02600000,0.05,0,0,0.05,0,3.0898,-0.0002,0,326
Mon Jun 05 2023,SPXW230605C02800000,0,0,1477.4,1479,0,2.8856,0.9997,0,0,2800.00,SPXW230605P02800000,0.1,0,0,0.05,0,2.6514,-0.0003,0,51
Mon Jun 05 2023,SPXW230605C03000000,1286.79,70.79,1276.8,1278.8,5,0,0.9996,0,3,3000.00,SPXW230605P03000000,0.05,0,0,0.05,0,2.2412,-0.0004,0,1369
